Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-EK-A2PI-01A-11R-A18M-07,0,0.0718455280285527,0.104094051564686,0,0.193672385491107,0,0,0.0873534486716539,0,0,0,0.0972725407046519,0.064538285393848,0.0514930206595534,0.0128934577016251,0.194894707178772,0.0295795028885455,0.0387901091460389,0.0116512603389194,0,0.0419217022320459,0,0.88,-0.0168496568505311,1.08111918066856
TCGA-C5-A907-01A-11R-A37O-07,0,0.00821984150540355,0.231602531822199,0.0794213540177109,0,0.183473223032603,0.0567479801243346,0.00613813883697596,0,0,0.0861587797931722,0.0301176085550381,0.00364818680401523,0.00452050481015369,0.175994858603576,0.0644796500321398,0,0.00511712450421896,0.0571460851723825,0,0,0.0072141323860763,0.1,0.191390674156976,1.02758984256048
TCGA-VS-A9UJ-01A-11R-A42T-07,0,0.0933202688353566,0.122327082054787,0,0.0915007895407531,0,0,0.0069162001040521,0.0419514242559093,0,0.0257263635676756,0,0,0.313778892722757,0,0,0,0.034575210761994,0,0.240505137550368,0.0267115743159326,0.00268705629041394,0.75,0.00366162846951375,1.1223597638211
TCGA-MY-A5BD-01A-11R-A26T-07,0,0,0.442938457981044,0,0,0.0530331452950962,0,0.0738585104847821,0.0121852768165267,0.0476311579103518,0.0854366256990967,0,0,0.02179091993021,0.00247187902476406,0.0441054129984436,0.0478527691553869,0.0540924719964416,0.103911201650081,0,0.000929181758457722,0.00976298929931812,0.79,-0.00142890977566627,1.0827742467082
TCGA-HM-A3JK-01A-11R-A32Y-07,0,0.0234944464126038,0.428138125974166,0.0377620532926373,0,0.0531891382273051,0,0,0.0284231072339024,0,0.0201270841587624,0,0,0.115391566005129,0.0429646508283889,0.167442726032675,0.0283772693542761,0,0.0335608500663524,0,0,0.0211289824138013,0,0.675596753726208,0.780604270202058
TCGA-DS-A7WF-01A-11R-A352-07,0,0,0.317481962985675,0.0410681059618972,0,0.190873671702856,0.0107835301078048,0.0597083896957282,0,0,0.0429109977620391,0,0,0.0277915113742453,0.173997278799147,0.0525250391687405,0.0149212355398819,0.0152518620495019,0.0370784072122126,0,0,0.0156080076402705,0.43,0.0574141031486074,1.08265411460006
TCGA-C5-A8YT-01A-11R-A37O-07,0,0,0.0595200601988307,0.149846488245139,0,0.149697352934758,0,0.000608490632013094,0.0163159424886307,0,0.242257099618887,0.101604873756063,0,0.00484548379279335,0.000535402970053045,0.186986234678395,0,0.000813707340054186,0.0753448742478636,0,0,0.0116239890965188,0.01,0.399847380002392,0.945765476047641
TCGA-JW-A852-01A-11R-A352-07,0,0.0683838545802498,0.0263135744991238,0.0599900375636168,0,0.0379878308053924,0.00723753516288641,0.0441273915325267,0.0394840803223673,0,0.0131426464056962,0.0211073599205966,0.0331922675923273,0.21416805045815,0.031029061919663,0.111527166270512,0.111879849400085,0.0230020655787335,0.151491666705887,0,0,0.00593556128218645,0.02,0.369638315519562,0.92834200024269
TCGA-HM-A3JJ-01A-21R-A21T-07,0,0,0.442260465413526,0.0490570229160846,0,0.068822255077008,0.00806363845369278,0.0189900635493962,0.00899634503638467,0,0.00212067318218401,0.0304901478945229,0,0,0.141914022769993,0.0889656055452286,0.0482139342084872,0.0232052543125016,0.0653295126256854,0,0,0.0035710590153047,0,0.573549783578634,0.825511330235586
TCGA-VS-A9UM-01A-11R-A42T-07,0.00238439348146478,0,0.475753412832561,0.0122344410586003,0,0.117853996969722,0.0187323329931451,0.0200175161400038,0.00196900135142873,0,0.0815152801231476,0,0,0,0.0325247669246025,0.166066133788798,0,0.0300089391372687,0,0,0.016171745267658,0.0247680399315993,0,0.56688309394609,0.835477285916293
TCGA-C5-A2LT-01A-11R-A18M-07,0,0.0139826151215684,0.300813556339902,0.146089981431742,0,0.18381678968396,0.00353458799643913,0.0285861683169036,0,0,0.117450161296665,0,0,0.000401407904704808,0.0199848451515249,0.0716170317267056,0.0252500251002791,0.0433333348092061,0,0.0315660376635484,0.0115748151344301,0.0019986423224204,0.02,0.364689178339728,0.933810702653401
TCGA-DS-A0VN-01A-21R-A10U-07,0,0.0326841279994507,0.135790024878109,0.150772712647512,0,0.198550531848219,0.0106676083682088,0.0489552683899808,0,0,0.101107287989445,0.000710233469639013,0,0.0385152694239302,0.166392956105589,0.0668556237479741,0.0298132542245347,0,0,0,0,0.0191851009074064,0,0.577899514984184,0.817160329033376
