"Gene","logFC","adj.P.Val"
"IGHG1",4959.22954657964,0.000251478781942468
"IGHM",1411.92343147274,4.68252114687036e-09
"IGKV4-1",999.960147653426,3.51286366611352e-07
"TACSTD2",824.705815597516,3.74601191278569e-06
"IGHV5-51",744.259766213086,6.3451305382983e-05
"IGLV2-23",625.184092918632,0.000228735361990174
"IGLV2-14",617.243726150141,0.00709379763945823
"IGLV1-40",597.171388660555,1.69730707141813e-05
"IGHG3",540.951795556787,0.000268935685742272
"IGKV3-11",525.256580144402,0.000262885932761612
"KRT14",-11742.3228661575,1.72049353456879e-05
"KRT6A",-6627.54421902247,0.000151327326528938
"PI3",-6115.49164305283,0.00309037529482139
"KRT16",-4119.60583696194,0.00826698261899845
"KRT17",-3817.37316061277,0.00187347891932101
"SPRR1B",-3507.01728327315,0.000937449432608625
"SPRR1A",-3041.38852826991,0.0362754328102905
"SFN",-2397.02470592427,0.00650911210696452
"KRT6B",-2382.31757386836,0.014432942677175
"S100A7",-2349.02432016106,0.0145643800554202
