"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","epidermis development","129/3038","287/18842",0.449477351916376,2.78770647294548,13.380397969119,4.49703243677201e-31,2.64425507282194e-27,2.64425507282194e-27,"LCE1A/AQP3/PLA2G10/FLG/HRNR/GRHL1/CDH3/FUZ/SLC44A4/COL7A1/LCE2A/KRT84/SPRR4/KCNQ1/SPRR1A/KLK14/ETV4/SPINK5/PITX2/FA2H/TMEM132E/SCEL/JAG1/NTF4/KRT6B/KRT77/KRT9/CFAP100/SPRR2E/ACER1/USH1C/GATA6/KRT85/LIPN/SPRR2B/KRT78/LCE3D/TMEM79/GRHL3/KPLCE/DSP/RBP2/PTHLH/KRT6A/FABP5/GJB5/KRT79/FST/PI3/LCE1F/EREG/FZD3/KRT75/CERS3/KRT3/GDF3/TRIM16/KRT31/KRT14/MAFB/LCE1E/SPRR2D/KLK7/DSC1/SPRR2G/PLS1/ZNF750/FOXI3/OVOL1/KRT15/KRT6C/CNFN/SPRR5/IVL/CLDN1/GAL/SFN/LCE5A/TGM1/CASP14/ALOX15B/S100A7/KRT74/KRT32/KRT4/TCHH/SPRR3/LCE3E/KRT5/SLC39A2/FOXE1/LCE1B/KRT81/LCE3A/LIPK/TNF/LORICRIN/LAMA3/KRT16/SOX9/FLG2/KRT10/SPRR2F/ALOX12B/SPRR1B/KRT36/KRTDAP/KRT82/CYSRT1/IL20/TP63/ALOXE3/KRT34/KRT27/KRT17/FERMT1/FOXN1/CSTA/LAMC2/LCE1C/TGM5/BNC1/KLK5/COL17A1/KRT71/KRT83/KRT1/KRT76/PKP1",129
"GO:0003341","cilium movement","117/3038","264/18842",0.443181818181818,2.74866090131067,12.5449932759101,1.29191711446936e-27,3.79823631653992e-24,3.79823631653992e-24,"TEKT4/PACRG/DNAH12/DRC10/SMCP/SPAG6/ODAD3/GAS2L2/FBXL13/DNAH11/CFAP126/CFAP141/CATSPERB/TTC21A/ARMC2/CATSPERD/DRC3/CFAP100/DYDC1/CFAP91/DNAH5/RSPH4A/DNAAF11/DNAI1/CFAP54/RFX3/DRC1/SPMIP11/CFAP95/CFAP210/RSPH1/TLE6/ZMYND12/DNAI3/EFHC2/DNAJB13/CFAP70/NSUN7/RIBC1/DNAH17/DNALI1/DNAAF6/ODAD1/CFAP206/EPPIN/LRRC46/CFAP69/CFAP77/DNAH9/CFAP90/DRC5/ROPN1L/CFAP43/HYDIN/CFAP52/DNAH7/TPPP2/RSPH14/TEKT5/ODAD2/LRRC23/DNAH6/NME5/ENKUR/ARMC3/CFAP45/KLC3/DNAI4/TAC1/TTC29/MNS1/SPEF2/TTLL3/EFHB/SPMIP8/ODAD4/CFAP73/SPAG8/DNAH10/CFAP46/EFCAB6/RNASE10/DRC2/NEK10/TEKT2/DNAAF4/CFAP276/CFAP251/TACR3/KIF9/CFAP221/TMEM232/CFAP61/AQP4/IQUB/DRC11/SPA17/CFAP107/CFAP157/DNAAF1/DRC7/CFAP47/CFAP58/CIMIP2C/EFHC1/SPMIP6/ROPN1B/PIERCE1/TEKT3/SPEF1/DNAH2/CCDC40/TTLL6/CFAP65/RIBC2/TEKT1/PIERCE2",117
"GO:0043588","skin development","106/3038","236/18842",0.449152542372881,2.78569196951607,12.1031492205879,1.024931202935e-25,2.00886515775259e-22,2.00886515775259e-22,"LCE1A/AQP3/PLA2G10/FLG/HRNR/CDH3/FUZ/LCE2A/KRT84/SPRR4/SPRR1A/ETV4/SPINK5/FA2H/SCEL/JAG1/KRT6B/KRT77/KRT9/CFAP100/SPRR2E/ACER1/GATA6/KRT85/LIPN/SPRR2B/KRT78/LCE3D/TMEM79/ITGA2/GRHL3/DSP/KRT6A/KRT79/FST/PI3/LCE1F/EREG/FZD3/KRT75/CERS3/KRT3/TRIM16/KRT14/MAFB/LCE1E/SPRR2D/DSC1/SPRR2G/RYR1/FOXI3/KRT6C/CNFN/SPRR5/ITGA6/IVL/CLDN1/GAL/SFN/LCE5A/TGM1/CASP14/ALOX15B/S100A7/KRT74/KRT4/TCHH/SPRR3/LCE3E/KRT5/SLC39A2/FOXE1/LCE1B/KRT81/LCE3A/LIPK/TNF/LORICRIN/SLC2A10/KRT16/SOX9/FLG2/KRT10/SPRR2F/ALOX12B/SPRR1B/KRT36/KRT82/CYSRT1/IL20/TP63/ALOXE3/KRT27/KRT17/FERMT1/FOXN1/CSTA/LCE1C/KLK5/DACT2/KRT71/KRT83/KRT1/KRT76/PKP1/ASCL4",106
"GO:0031424","keratinization","54/3038","79/18842",0.683544303797468,4.2394146715444,12.6500225653505,3.86774072414899e-25,5.68557886449901e-22,5.68557886449901e-22,"LCE1A/FLG/HRNR/CDH3/LCE2A/KRT84/SPRR4/SPRR1A/KRT6B/KRT77/SPRR2E/KRT85/LIPN/SPRR2B/KRT78/LCE3D/KRT6A/KRT79/PI3/LCE1F/KRT75/CERS3/KRT3/LCE1E/SPRR2D/SPRR2G/KRT6C/CNFN/IVL/LCE5A/TGM1/CASP14/KRT74/KRT4/TCHH/SPRR3/LCE3E/KRT5/LCE1B/KRT81/LCE3A/LIPK/LORICRIN/KRT16/KRT10/SPRR2F/SPRR1B/KRT82/LCE1C/KLK5/KRT71/KRT83/KRT1/KRT76",54
"GO:0001539","cilium or flagellum-dependent cell motility","102/3038","237/18842",0.430379746835443,2.66926108949092,11.3382480765368,4.8840581223468e-23,4.78637695989986e-20,4.78637695989986e-20,"TEKT4/PACRG/DNAH12/DRC10/SMCP/ODAD3/GAS2L2/FBXL13/DNAH11/CFAP126/CFAP141/CATSPERB/TTC21A/ARMC2/CATSPERD/DRC3/DYDC1/DNAH5/RSPH4A/DNAAF11/DNAI1/CFAP54/RFX3/DRC1/SPMIP11/CFAP95/CFAP210/RSPH1/TLE6/ZMYND12/DNAI3/EFHC2/DNAJB13/NSUN7/RIBC1/DNAH17/DNALI1/DNAAF6/ODAD1/CFAP206/EPPIN/LRRC46/CFAP69/CFAP77/DNAH9/CFAP90/DRC5/ROPN1L/CFAP43/CFAP52/DNAH7/TPPP2/RSPH14/TEKT5/ODAD2/LRRC23/DNAH6/NME5/ENKUR/ARMC3/CFAP45/KLC3/TAC1/MNS1/SPEF2/TTLL3/EFHB/SPMIP8/ODAD4/SPAG8/DNAH10/CFAP46/EFCAB6/RNASE10/DRC2/TEKT2/CFAP276/CFAP251/TACR3/KIF9/TMEM232/CFAP61/IQUB/DRC11/CFAP107/CFAP157/DRC7/CFAP47/CFAP58/CIMIP2C/EFHC1/SPMIP6/ROPN1B/PIERCE1/TEKT3/DNAH2/CCDC40/TTLL6/CFAP65/RIBC2/TEKT1/PIERCE2",102
"GO:0060285","cilium-dependent cell motility","102/3038","237/18842",0.430379746835443,2.66926108949092,11.3382480765368,4.8840581223468e-23,4.78637695989986e-20,4.78637695989986e-20,"TEKT4/PACRG/DNAH12/DRC10/SMCP/ODAD3/GAS2L2/FBXL13/DNAH11/CFAP126/CFAP141/CATSPERB/TTC21A/ARMC2/CATSPERD/DRC3/DYDC1/DNAH5/RSPH4A/DNAAF11/DNAI1/CFAP54/RFX3/DRC1/SPMIP11/CFAP95/CFAP210/RSPH1/TLE6/ZMYND12/DNAI3/EFHC2/DNAJB13/NSUN7/RIBC1/DNAH17/DNALI1/DNAAF6/ODAD1/CFAP206/EPPIN/LRRC46/CFAP69/CFAP77/DNAH9/CFAP90/DRC5/ROPN1L/CFAP43/CFAP52/DNAH7/TPPP2/RSPH14/TEKT5/ODAD2/LRRC23/DNAH6/NME5/ENKUR/ARMC3/CFAP45/KLC3/TAC1/MNS1/SPEF2/TTLL3/EFHB/SPMIP8/ODAD4/SPAG8/DNAH10/CFAP46/EFCAB6/RNASE10/DRC2/TEKT2/CFAP276/CFAP251/TACR3/KIF9/TMEM232/CFAP61/IQUB/DRC11/CFAP107/CFAP157/DRC7/CFAP47/CFAP58/CIMIP2C/EFHC1/SPMIP6/ROPN1B/PIERCE1/TEKT3/DNAH2/CCDC40/TTLL6/CFAP65/RIBC2/TEKT1/PIERCE2",102
"GO:0060294","cilium movement involved in cell motility","101/3038","235/18842",0.429787234042553,2.66558626195846,11.2648452862694,9.05246549049489e-23,7.60407101201571e-20,7.60407101201571e-20,"TEKT4/PACRG/DNAH12/DRC10/SMCP/ODAD3/GAS2L2/FBXL13/DNAH11/CFAP126/CFAP141/CATSPERB/TTC21A/ARMC2/CATSPERD/DRC3/DYDC1/DNAH5/RSPH4A/DNAAF11/DNAI1/CFAP54/DRC1/SPMIP11/CFAP95/CFAP210/RSPH1/TLE6/ZMYND12/DNAI3/EFHC2/DNAJB13/NSUN7/RIBC1/DNAH17/DNALI1/DNAAF6/ODAD1/CFAP206/EPPIN/LRRC46/CFAP69/CFAP77/DNAH9/CFAP90/DRC5/ROPN1L/CFAP43/CFAP52/DNAH7/TPPP2/RSPH14/TEKT5/ODAD2/LRRC23/DNAH6/NME5/ENKUR/ARMC3/CFAP45/KLC3/TAC1/MNS1/SPEF2/TTLL3/EFHB/SPMIP8/ODAD4/SPAG8/DNAH10/CFAP46/EFCAB6/RNASE10/DRC2/TEKT2/CFAP276/CFAP251/TACR3/KIF9/TMEM232/CFAP61/IQUB/DRC11/CFAP107/CFAP157/DRC7/CFAP47/CFAP58/CIMIP2C/EFHC1/SPMIP6/ROPN1B/PIERCE1/TEKT3/DNAH2/CCDC40/TTLL6/CFAP65/RIBC2/TEKT1/PIERCE2",101
"GO:0010817","regulation of hormone levels","164/3038","487/18842",0.336755646817248,2.08859443625102,10.6712610849611,4.19700747718514e-22,3.08480049573108e-19,3.08480049573108e-19,"GATA3/ADH1B/CEL/ADM/MLXIPL/UGT1A7/AKR1C2/UCP2/UGT1A4/ANPEP/P2RY1/GHR/CYP2W1/SLC7A5/DIO3/RDH5/PTPRN2/INHBB/BACE2/HNF1B/KCNQ1/SRD5A1/ISL1/IL1B/CYP26A1/CYP2S1/UGT2B7/MYRIP/WNT4/DUOXA1/ADH1A/MEP1A/CRYM/PAX8/AKR1C1/ADRA2C/C2CD2L/BCO1/OPRK1/UGT2B17/HSD17B1/CYP2C9/SHH/FAM3B/CYP3A5/SLC16A2/NR0B2/RFX3/PCSK1/GHRHR/UCN3/LIF/UGT1A8/CACNA1H/BRSK2/RBP4/RDH12/HSD17B11/CPLX1/SDR9C7/SRD5A3/C1QTNF1/HCAR2/SRRM3/SRD5A2/ADH6/ABCC8/CYP19A1/DUOX2/ADH7/ADCY5/TRPA1/ALDH1A3/PDX1/REN/CTSG/SNAP25/HPN/PRKCA/AKR1B10/RPE65/GAL/HNF4A/MAFA/MME/SLCO1B1/GJA1/AKR1C4/GPER1/TPO/NR5A2/CYP27C1/DPP4/PAPSS2/RDH16/SOX11/ADORA1/SLC16A1/BLK/CCN3/CYP11A1/TAC1/DOC2B/GNRHR/WNK4/RFX6/MTNR1B/FOXE1/IFNG/AANAT/ADRA2A/PDE8B/AGT/TNF/ACE/JAK2/ECRG4/SSTR5/POMC/GNB3/DRD2/PPARG/TACR3/SLC26A7/UGT2B28/FOXA2/SLC5A5/FAM3D/UGT1A6/CES1/KISS1R/GNAZ/UGT1A1/NKX6-1/KCNJ11/ALDH1A1/MYB/INHA/LEP/AKR1B15/STX1A/ALDH1A2/SLC17A4/HSD3B1/NR1H4/IYD/MRGPRE/CYP2D6/IL11/CCL5/BAIAP3/IL6/UGT2B15/CHGA/GCK/CYP21A2/CLTRN/SCT/CPA4/HNF1A/SULT2A1/STAR/NMB/SULT1B1",164
"GO:0035082","axoneme assembly","56/3038","93/18842",0.602150537634409,3.73460185322828,11.5906788455263,6.03375477567679e-22,3.94205312010884e-19,3.94205312010884e-19,"DNAH12/ODAD3/CFAP74/ZMYND10/RP1/ARMC2/LRGUK/CFAP100/CFAP91/DNAH5/RSPH4A/DNAAF11/DNAI1/DRC1/RSPH1/ZMYND12/DNAI3/DNAJB13/DNAH17/DNAAF6/STK36/ODAD1/DNAAF8/CFAP206/FOXJ1/JHY/CFAP69/CFAP43/HYDIN/DNAH7/ODAD2/LRRC23/DNAI4/MNS1/SPEF2/TTLL3/ODAD4/CFAP73/CFAP46/CCDC13/DRC2/DNAAF4/DAW1/CFAP157/DNAAF1/DRC7/CFAP47/CFAP58/PIERCE1/SPEF1/DNAH2/CCDC40/CFAP65/DNAAF3/PIERCE2/DCX",56
"GO:0030216","keratinocyte differentiation","73/3038","147/18842",0.496598639455782,3.07995772370831,11.0997395768877,2.79577633987013e-21,1.64391648784364e-18,1.64391648784364e-18,"LCE1A/AQP3/FLG/HRNR/CDH3/LCE2A/KRT84/SPRR4/SPRR1A/ETV4/SCEL/JAG1/KRT6B/KRT77/SPRR2E/ACER1/KRT85/LIPN/SPRR2B/KRT78/LCE3D/DSP/KRT6A/KRT79/PI3/LCE1F/EREG/KRT75/CERS3/KRT3/TRIM16/KRT14/MAFB/LCE1E/SPRR2D/SPRR2G/KRT6C/CNFN/SPRR5/IVL/LCE5A/TGM1/CASP14/ALOX15B/S100A7/KRT74/KRT4/TCHH/SPRR3/LCE3E/KRT5/SLC39A2/LCE1B/KRT81/LCE3A/LIPK/LORICRIN/KRT16/KRT10/SPRR2F/SPRR1B/KRT36/KRT82/IL20/FOXN1/CSTA/LCE1C/KLK5/KRT71/KRT83/KRT1/KRT76/PKP1",73
