"ENSEMBL","SYMBOL","ENTREZID"
"ENSG00000001084","GCLC","2729"
"ENSG00000001561","ENPP4","22875"
"ENSG00000001626","CFTR","1080"
"ENSG00000002726","AOC1","26"
"ENSG00000002933","TMEM176A","55365"
"ENSG00000003147","ICA1","3382"
"ENSG00000004139","SARM1","23098"
"ENSG00000004799","PDK4","5166"
"ENSG00000004838","ZMYND10","51364"
"ENSG00000004848","ARX","170302"
"ENSG00000005108","THSD7A","221981"
"ENSG00000005187","ACSM3","6296"
"ENSG00000005243","COPZ2","51226"
"ENSG00000005379","TSPOAP1","9256"
"ENSG00000005421","PON1","5444"
"ENSG00000005469","CROT","54677"
"ENSG00000005961","ITGA2B","3674"
"ENSG00000005981","ASB4","51666"
"ENSG00000006016","CRLF1","9244"
"ENSG00000006047","YBX2","51087"
"ENSG00000006059","KRT33A","3883"
"ENSG00000006071","ABCC8","6833"
"ENSG00000006128","TAC1","6863"
"ENSG00000006468","ETV1","2115"
"ENSG00000006534","ALDH3B1","221"
"ENSG00000006606","CCL26","10344"
"ENSG00000006611","USH1C","10083"
"ENSG00000006740","ARHGAP44","9912"
"ENSG00000006747","SCIN","85477"
"ENSG00000006788","MYH13","8735"
"ENSG00000007001","UPP2","151531"
"ENSG00000007062","PROM1","8842"
"ENSG00000007129","CEACAM21","90273"
"ENSG00000007174","DNAH9","1770"
"ENSG00000007216","SLC13A2","9058"
"ENSG00000007306","CEACAM7","1087"
"ENSG00000007372","PAX6","5080"
"ENSG00000007402","CACNA2D2","9254"
"ENSG00000007516","BAIAP3","8938"
"ENSG00000008226","DLEC1","9940"
"ENSG00000008311","AASS","10157"
"ENSG00000009694","TENM1","10178"
"ENSG00000009765","IYD","389434"
"ENSG00000009790","TRAF3IP3","80342"
"ENSG00000009950","MLXIPL","51085"
"ENSG00000010282","HHATL","57467"
"ENSG00000010361","FUZ","80199"
"ENSG00000010379","SLC6A13","6540"
"ENSG00000010438","PRSS3","5646"
"ENSG00000010610","CD4","920"
"ENSG00000010626","LRRC23","10233"
"ENSG00000010932","FMO1","2326"
"ENSG00000011590","ZBTB32","27033"
"ENSG00000011600","TYROBP","7305"
"ENSG00000011677","GABRA3","2556"
"ENSG00000012171","SEMA3B","7869"
"ENSG00000012504","NR1H4","9971"
"ENSG00000013588","GPRC5A","9052"
"ENSG00000015413","DPEP1","1800"
"ENSG00000015520","NPC1L1","29881"
"ENSG00000016082","ISL1","3670"
"ENSG00000016391","CHDH","55349"
"ENSG00000016602","CLCA4","22802"
"ENSG00000019102","VSIG2","23584"
"ENSG00000019186","CYP24A1","1591"
"ENSG00000019505","SYT13","57586"
"ENSG00000019549","SNAI2","6591"
"ENSG00000021300","PLEKHB1","58473"
"ENSG00000021826","CPS1","1373"
"ENSG00000023909","GCLM","2730"
"ENSG00000024422","EHD2","30846"
"ENSG00000025708","TYMP","1890"
"ENSG00000026508","CD44","960"
"ENSG00000026559","KCNG1","3755"
"ENSG00000026751","SLAMF7","57823"
"ENSG00000029153","BMAL2","56938"
"ENSG00000039139","DNAH5","1767"
"ENSG00000039537","C6","729"
"ENSG00000039987","BEST2","54831"
"ENSG00000041353","RAB27B","5874"
"ENSG00000044012","GUCA2B","2981"
"ENSG00000046889","PREX2","80243"
"ENSG00000047457","CP","1356"
"ENSG00000048342","CC2D2A","57545"
"ENSG00000048540","LMO3","55885"
"ENSG00000049089","COL9A2","1298"
"ENSG00000049249","TNFRSF9","3604"
"ENSG00000050438","SLC4A8","9498"
"ENSG00000050730","TNIP3","79931"
"ENSG00000053108","FSTL4","23105"
"ENSG00000053747","LAMA3","3909"
"ENSG00000053918","KCNQ1","3784"
"ENSG00000054179","ENTPD2","954"
"ENSG00000054803","CBLN4","140689"
"ENSG00000055118","KCNH2","3757"
"ENSG00000055813","CCDC85A","114800"
"ENSG00000056487","PHF21B","112885"
"ENSG00000056558","TRAF1","7185"
"ENSG00000056736","IL17RB","55540"
"ENSG00000056998","GYG2","8908"
"ENSG00000057149","SERPINB3","6317"
"ENSG00000057657","PRDM1","639"
"ENSG00000057704","TMCC3","57458"
"ENSG00000058085","LAMC2","3918"
"ENSG00000059728","MXD1","4084"
"ENSG00000060558","GNA15","2769"
"ENSG00000060709","RIMBP2","23504"
"ENSG00000062038","CDH3","1001"
"ENSG00000062096","ARSF","416"
"ENSG00000062524","LTK","4058"
"ENSG00000063515","GSC2","2928"
"ENSG00000063660","GPC1","2817"
"ENSG00000064199","SPA17","53340"
"ENSG00000064218","DMRT3","58524"
"ENSG00000064300","NGFR","4804"
"ENSG00000064309","CDON","50937"
"ENSG00000064651","SLC12A2","6558"
"ENSG00000064763","FAR2","55711"
"ENSG00000064787","BCAS1","8537"
"ENSG00000064886","CHI3L2","1117"
"ENSG00000065054","NHERF2","9351"
"ENSG00000065618","COL17A1","1308"
"ENSG00000065809","FAM107B","83641"
"ENSG00000065833","ME1","4199"
"ENSG00000066032","CTNNA2","1496"
"ENSG00000066185","ZMYND12","84217"
"ENSG00000066336","SPI1","6688"
"ENSG00000066813","ACSM2B","348158"
"ENSG00000067191","CACNB1","782"
"ENSG00000067715","SYT1","6857"
"ENSG00000068078","FGFR3","2261"
"ENSG00000068985","PAGE1","8712"
"ENSG00000069011","PITX1","5307"
"ENSG00000069020","MAST4","375449"
"ENSG00000069482","GAL","51083"
"ENSG00000069667","RORA","6095"
"ENSG00000069702","TGFBR3","7049"
"ENSG00000069764","PLA2G10","8399"
"ENSG00000069764","LOC100652777","100652777"
"ENSG00000069812","HES2","54626"
"ENSG00000069849","ATP1B3","483"
"ENSG00000070019","GUCY2C","2984"
"ENSG00000070031","SCT","6343"
"ENSG00000070081","NUCB2","4925"
"ENSG00000070404","FSTL3","10272"
"ENSG00000070526","ST6GALNAC1","55808"
"ENSG00000070729","CNGB1","1258"
"ENSG00000070748","CHAT","1103"
"ENSG00000070808","CAMK2A","815"
"ENSG00000070886","EPHA8","2046"
"ENSG00000071073","MGAT4A","11320"
