"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",198,0.747230575301309,1.71548151234815,4.32828905487454e-06,0.000216414452743727,0.000216414452743727,3296,"tags=44%, list=15%, signal=38%","5724/6098/3552/6367/8744/9180/27074/3732/6361/3606/6373/9153/3383/970/6352/3575/4084/1440/3566/3659/8685/3593/5329/3601/623/6372/8743/1236/4790/5054/3269/684/2152/5027/2769/6364/10663/4210/9111/8877/1604/64127/4792/7097/3949/4973/64108/1318/8809/3738/1536/10125/3600/3604/3560/1839/29933/962/5734/10630/3627/958/4233/8807/2069/4049/9034/6504/2357/136/3587/3656/7162/7096/23601/3553/6369/4224/7133/8671/3569/114548/1026/2015/1906/969/2014/558",0.610526878385931
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",199,0.718431802411406,1.66738733489763,3.71431879862168e-05,0.00092857969965542,0.00092857969965542,3314,"tags=43%, list=16%, signal=37%","2354/330/127544/3552/80149/8744/5271/5055/8942/3914/6776/3606/6373/6385/3383/6352/3575/4084/9516/6890/3659/4088/3593/1847/1437/5329/3601/150094/6372/8061/4790/5054/5743/25976/2152/6364/25816/2920/602/8877/2114/3726/4792/7097/3949/4973/182/1843/8303/5966/597/2355/7124/64135/3604/1839/5971/3164/5734/5328/3627/6351/51278/9034/7128/7262/1942/9322/7071/5341/2150/2921/1827/8013/3553/7127/3569/941/4791/3280/1026/1906/467/8553/969/55332",0.557332238758646
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,-0.854518212804672,-1.64684404285855,0.00542684918402171,0.0271342459201086,0.0271342459201086,369,"tags=14%, list=2%, signal=14%","22943/23493/27121/5727/51176/8313",0.407017918923954
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",109,-0.754695100959638,-1.64363473703941,0.00176042800548051,0.0110026750342532,0.0110026750342532,711,"tags=6%, list=3%, signal=5%","654/3417/367/6579/5264/6258",0.45505986738723
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",199,0.698252031489367,1.62055269541814,0.000132350385415263,0.00220583975692105,0.00220583975692105,3834,"tags=48%, list=18%, signal=40%","29126/256586/5359/834/6373/3383/6352/3001/3566/81030/4261/55008/6398/6890/3662/3659/4599/5214/3601/567/9830/8743/3117/3695/4790/23424/5743/684/4502/79132/5698/9111/1439/7378/4792/57823/9961/3394/64108/629/10791/3135/3117/115361/3600/64135/3560/3430/6775/4940/3627/84166/94240/3105/958/6772/3123/952/9246/3669/3106/55601/54625/22914/7128/2357/3587/5292/8673/85441/5699/6774/7453/57674/3663/7127/3620/3569/1026/942/3717/54739/969/2841/3574/10906/10628/4283/3108/3660/10135/355/57169/5696/10875/715",0.518848077743792
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.68193445538006,1.59321281911499,0.000478464065243548,0.00598080081554435,0.00598080081554435,3944,"tags=23%, list=18%, signal=19%","1029/1031/6941/7083/4174/55723/64785/3978/6839/6118/56655/4175/4171/5111/4173/672/5631/7913/204/54962/79733/29980/1854/10714/5424/994/1163/55148/6241/6119/29893/580/1026/5810/8243/146909/11004/7037/10274/9133/4288/8914/4609/10051/29028/1786",0.49849310876659
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,0.746368280041365,1.56279088248916,0.00474110839066442,0.0263394910592468,0.0263394910592468,2651,"tags=36%, list=12%, signal=32%","4938/27074/5359/834/6373/3566/55008/6890/3659/4599/567/10544/9830/23424/684/79132/83666/5698/54809/9111/3107/64108/115361/7318/3600/64135/3430/3627/94240/9246/3669/9034/55601/54625/85441",0.407017918923954
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",200,0.65920406926796,1.54010750635139,0.00173327096312816,0.0110026750342532,0.0110026750342532,3512,"tags=30%, list=16%, signal=26%","1029/11202/1030/3872/1606/7421/127544/3552/8744/55240/834/3732/6236/5268/4084/6890/1969/10544/1643/4071/4808/1263/10057/7378/8877/5111/6382/4033/10397/100/23654/10458/3006/10904/1839/3691/79651/51278/203/2040/6256/8673/2760/54541/1050/50619/27165/22891/51768/6281/57799/1026/467/55332/1012/9314/29948/5912/10906/7704/10628",0.45505986738723
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",198,0.664507682042324,1.52556745004346,0.00125641233615444,0.010470102801287,0.010470102801287,3001,"tags=26%, list=14%, signal=23%","3816/4322/3172/725/5055/255738/718/8942/5646/5359/834/6283/6352/3001/978/146547/3659/1847/717/5329/1520/4321/5054/59345/2152/1608/5698/2820/1604/283/3003/4973/3684/629/1512/10125/3988/51440/760/64167/6280/7128/2157/5292/3303/959/5341/1508/60489/2793/341/966",0.45505986738723
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",194,0.655684243887096,1.50684675583695,0.00094324760450563,0.0094324760450563,0.0094324760450563,3750,"tags=53%, list=18%, signal=44%","1029/3848/6367/822/3561/924/3606/3383/6352/3001/915/4065/4050/3566/10563/6890/3662/3593/717/1520/567/3111/43/1956/3117/10333/2000/5579/3459/4843/917/602/4690/5551/7097/672/5788/2213/3394/3059/919/6891/3135/3117/3122/3600/7124/3112/3560/56253/2533/6775/973/10225/2268/3133/3105/958/8807/6772/2069/6351/916/5552/3594/6363/50852/9437/959/1234/3458/914/7096/5699/7453/3553/6357/3589/3603/3689/3569/941/114548/2634/942/3824/3717/961/3574/4689/3683/3559/7535/4283/11184/7098/3108/729230/925/8915/355/1435/7186",0.477270815362862
