"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","75/1247","217/9400",0.345622119815668,2.6053311357396,9.35658859478795,4.42952647161815e-16,1.55476379153797e-13,1.55476379153797e-13,"3691/6701/6706/3728/374454/5339/6704/196374/3850/242/29943/3848/285848/55304/6281/23562/3892/3883/59344/144501/1828/6279/9333/6700/2312/79852/9119/3857/23254/7051/6283/140576/6703/121214/338785/192666/3918/3887/6273/3855/823/6277/353132/84648/3909/26154/5521/1294/9076/1288/51702/6278/6705/3872/137075/6282/5493/353142/353135/57402/3890/338324/3914/126410/3858/23581/5523/84283/1823/3885/353133/1829/353145/3851/2125",75
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","88/1247","298/9400",0.295302013422819,2.22601357351604,8.41105214111927,5.80923051321946e-14,1.01951995507001e-11,1.01951995507001e-11,"56832/1440/58985/8792/26525/8807/6352/10563/50604/8797/338376/4050/959/9173/51330/6361/939/3600/3570/53833/2920/3606/7124/3604/1439/3459/8740/90865/6368/282617/7132/64109/355/3561/3593/27177/2826/1443/3552/4049/7133/3627/3556/643/1233/3587/3603/9235/9180/1437/1236/10663/3595/3557/8744/3560/3566/84639/6367/5473/1234/6373/3594/8809/51554/6351/23765/6364/608/10344/4055/8808/27179/8743/56300/656/3601/50615/58191/970/8764/958/3575/3574/2829/1438/3581/6372",88
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","33/1247","66/9400",0.5,3.76904570970329,8.82843095280357,6.63994461905688e-13,7.76873520429655e-11,7.76873520429655e-11,"3113/3119/8807/3111/3122/3117/4088/3606/7124/6095/3459/64127/3123/3561/3593/4790/3552/3127/3120/7097/6772/3595/3566/6778/3115/3594/8809/4772/6774/3112/3118/50615/6775",33
"Human Diseases","Immune disease","hsa05330","Allograft rejection","24/1247","39/9400",0.615384615384615,4.63882548886559,8.90528328717908,2.46325282268859e-12,2.16150435190924e-10,2.16150435190924e-10,"942/3113/3119/3111/3122/3117/959/7124/3105/3134/355/3123/3593/3107/3135/3127/3120/5551/3115/3133/3112/3118/958/3106",24
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","59/1247","180/9400",0.327777777777778,2.47081885413882,7.7919348161373,8.35984784391495e-12,5.8686131864283e-10,5.8686131864283e-10,"3113/3119/6714/578/6352/3111/3122/3117/684/7297/7124/7186/3459/8740/4940/727/55080/6041/3105/3134/7132/355/3123/4938/3593/3107/6672/3135/4790/3716/4049/3127/4792/115004/3120/6429/5290/7097/8717/29915/6772/64170/330/718/3115/5291/6890/3133/567/56000/3112/3118/8764/6891/3106/5293/3717/64135/340061",59
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","25/1247","44/9400",0.568181818181818,4.28300648829919,8.53627314165596,1.05279741356814e-11,6.1588648693736e-10,6.1588648693736e-10,"942/2572/3113/3119/3111/3122/3117/7124/3105/3134/355/3123/3593/3107/3135/3552/4049/3127/3120/5551/3115/3133/3112/3118/3106",25
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","38/1247","93/9400",0.408602150537634,3.08008036491882,7.8837358073218,3.01024600896808e-11,1.50942335592542e-09,1.50942335592542e-09,"3113/3119/3111/3122/3117/7297/3459/3123/3561/3593/917/4790/3716/3127/4792/3120/915/6772/5603/4853/3595/182/3560/3566/6778/3115/864/3594/4772/6776/919/3112/3118/916/5600/3717/6775/5595",38
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","34/1247","78/9400",0.435897435897436,3.28583472127979,7.9278040581416,3.92207136726041e-11,1.72080881238551e-09,1.72080881238551e-09,"3113/3119/3111/3122/3117/4688/7124/3459/1536/5777/3123/3593/4790/3552/3716/3127/4792/3120/3684/7097/5579/1917/6772/5603/718/3115/5743/4689/3112/3118/5600/4843/3717/5595",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","39/1247","100/9400",0.39,2.93985565356856,7.62681603508871,8.97402897561925e-11,3.14988417044236e-09,3.14988417044236e-09,"58985/8807/6352/10563/50604/8797/6361/3570/53833/2920/3606/7124/8740/6368/7132/3561/2826/4049/7133/3627/643/1233/3587/1236/3560/6367/5473/1234/6373/8809/51554/6351/6364/10344/4055/8743/8764/2829/6372",39
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","39/1247","100/9400",0.39,2.93985565356856,7.62681603508871,8.97402897561925e-11,3.14988417044236e-09,3.14988417044236e-09,"1440/3113/3119/3111/3122/3117/910/914/924/3570/952/1604/7124/3123/917/911/3552/3127/913/3120/3684/915/2323/1437/3673/909/966/3566/3115/3675/3112/2322/3118/916/931/3575/3574/1438/3581",39
