"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","118/1490","217/9400",0.543778801843318,3.43055083042093,15.7212835229834,5.10929048605897e-40,1.7933609606067e-37,1.7933609606067e-37,"353131/2312/388697/51702/1294/353139/3890/163778/6698/5523/3854/374454/3857/9073/6704/3891/6701/196374/84648/100506658/84283/6274/1832/3853/338785/6700/3884/3728/353137/6279/6276/147409/667/285848/9119/204219/3850/3883/23562/3881/3861/121214/353135/6703/1823/6706/9080/338324/3866/286887/192666/110806278/3655/8687/1830/57402/3713/9076/3860/126637/254910/7051/23581/26285/100132463/6278/9075/121391/376497/6273/3882/3851/1288/7062/6707/353145/79852/3852/353132/1365/3887/11240/353142/4014/8688/3909/10686/3868/1287/388698/54474/3858/6705/242/5521/6785/6699/9071/8689/3888/6280/59344/3885/6283/1828/342574/3872/126410/3918/353133/9333/5522/1308/112802/3889/3848/51350/5317",118
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","106/1490","298/9400",0.355704697986577,2.24404306112337,9.4715454353312,1.97675213135587e-17,3.46919999052955e-15,3.46919999052955e-15,"23495/1440/970/1437/84639/85480/268/6346/83729/6363/6355/2690/6370/3625/55540/90865/3553/356/1234/3575/6359/4050/130399/392255/943/8792/10803/5618/3557/11009/27179/27189/4049/1237/6373/55504/10148/5473/50615/3627/4804/3976/56832/282616/920/9573/6374/8794/27177/57007/1524/56477/643/26525/6366/6367/2057/8741/1232/651/8743/6372/1436/6351/658/3559/6356/3595/3458/3568/133396/6846/3556/7124/4283/3604/53833/1236/3552/3579/10344/59067/729230/7040/282617/282618/3623/3952/4803/9173/50604/10563/6375/3560/146433/3589/6352/4982/655/3581/2921/3569/56300/3592/2826/9518",106
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","120/1490","371/9400",0.323450134770889,2.04055789721232,8.87521934510293,6.1759456179387e-16,7.22585637298828e-14,7.22585637298828e-14,"133/100996758/2568/1816/56413/5028/2893/2690/1128/1134/84109/719/2561/2569/4829/79924/432355/10800/1137/10161/5618/23620/152/4986/53637/55879/797/2692/283869/55584/1907/1136/56923/114131/1143/23566/2902/718/2899/2556/155/2831/623/222642/5732/5646/2859/186/3363/5031/2359/1511/2895/5029/9127/2900/51083/1131/113091/117/5644/2742/3001/3274/4852/4922/134/387129/27334/6344/2891/553/5021/6863/2798/887/8973/4544/150/6751/183/134864/64106/5645/4985/6755/5443/1813/6870/2558/1241/3355/4543/154/1081/2925/84634/8001/5027/1146/1139/147/1269/3952/2903/5026/57152/3357/2555/90226/6752/339403/5697/6343/27346/140/80763/6750/2743/4828",120
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","45/1490","100/9400",0.45,2.83892617449664,8.02358647059005,4.28221274599705e-12,3.75764168461241e-10,3.75764168461241e-10,"6346/6363/6355/6370/1234/6359/10803/11009/4049/1237/6373/5473/3627/6374/8794/57007/1524/56477/643/6366/6367/1232/8743/6372/1436/6351/3559/6356/6846/7124/4283/53833/1236/3579/10344/729230/50604/10563/6375/3560/146433/6352/2921/3569/2826",45
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","115/1490","404/9400",0.284653465346535,1.79580038540767,7.09603618717669,3.83802569834312e-11,2.69429404023687e-09,2.69429404023687e-09,"2568/1001/8313/79838/56137/3890/6327/9752/7855/2561/124590/2569/56136/3854/56146/374454/3857/54361/10083/1501/3891/4640/196374/6330/375612/55879/1832/56139/1014/56144/3853/1004/338785/7473/4430/3884/3728/56138/147409/7976/8323/9119/3850/3883/2556/3881/1496/3861/54798/8642/1823/1016/3866/286887/5101/192666/8687/1830/2196/3860/8325/11211/2697/342184/121391/7482/3882/56142/10413/3851/28513/7479/3852/1956/29930/1012/56143/3887/1006/5100/8688/84152/3868/1824/2558/1825/84962/54474/1015/3858/1010/56097/56135/56101/64005/8689/29119/3888/2260/56133/56141/81029/3885/1828/56134/342574/3872/2555/56145/112802/154810/3889/3848/51350/5317",115
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","67/1490","199/9400",0.336683417085427,2.12404303396176,6.95564932599159,2.94069813874801e-10,1.72030841116759e-08,1.72030841116759e-08,"6530/2568/1816/2793/43/170572/5028/2893/1128/2561/2569/1137/152/4986/6540/55879/1136/1143/112/2902/2899/2556/111/3363/5031/5578/5029/9127/2770/2900/1131/6572/3274/134/2891/6863/8973/6511/63910/6507/150/4985/5332/5443/2784/1813/6539/6870/2558/3355/154/64805/8001/1139/147/113/2903/5026/6538/5582/3357/2555/1103/3359/140/2743/6512",67
"Organismal Systems","Digestive system","hsa04976","Bile secretion","36/1490","90/9400",0.4,2.52348993288591,6.30277378897087,2.81057096542228e-08,1.40930058409032e-06,1.40930058409032e-06,"54577/1080/8714/54657/6513/7364/7367/8431/760/112/6580/54576/111/8671/10599/482/483/123264/28234/6344/64240/115072896/79799/6523/54490/54578/361/54658/486/113/3781/9971/7366/6343/64241/6822",36
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","29/1490","68/9400",0.426470588235294,2.69048559020924,6.07189540445323,1.20256372342313e-07,5.27624833651899e-06,5.27624833651899e-06,"125/54577/54657/54905/5959/1592/29785/7364/124/53630/7367/1559/1577/54576/145226/130/131/220/6121/339761/8608/79799/54490/54578/54658/216/8854/1555/7366",29
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","16/1490","26/9400",0.615384615384615,3.88229220443986,6.38716188690492,1.59828515832576e-07,6.23331211747046e-06,6.23331211747046e-06,"6928/3171/5080/5313/3651/3172/389692/2494/168620/222546/3110/3170/4825/3174/2645/6927",16
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","37/1490","100/9400",0.37,2.33422818791946,5.821492665523,1.97897186449475e-07,6.94619124437656e-06,6.94619124437656e-06,"1440/1437/948/290/930/3553/3678/3575/925/2208/3673/1604/929/909/920/924/3655/1380/913/2057/917/914/4311/1436/3559/3674/3568/7124/931/3552/916/3589/960/3581/3569/2209/915",37
