"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000001561.7",617.424818371677,-2.18840835698672,0.230352425941705,-9.50026181856029,2.09363239152737e-21,8.08114000681357e-20
"ENSG00000001626.16",465.264106348942,-2.88826108720996,0.428265659803105,-6.74408750992979,1.53991710700176e-11,1.74612998142518e-10
"ENSG00000002726.21",1542.05076949788,-3.22869127361128,0.358751079886209,-8.99980921210154,2.26110269426083e-19,6.93919627280304e-18
"ENSG00000002933.9",1696.33558359825,-1.85262629983087,0.213717245532551,-8.66858589354549,4.37520063379894e-18,1.13961294769495e-16
"ENSG00000003147.19",1017.17405579293,-1.70580620790165,0.211510451201474,-8.06487905544105,7.33084046573607e-16,1.43502823984143e-14
"ENSG00000004139.14",180.734011578935,-1.15626593035324,0.148963587195246,-7.7620709337358,8.35536489636454e-15,1.42253921231414e-13
"ENSG00000004799.8",604.62985893326,-2.68735519787199,0.287618952907507,-9.34345657928947,9.3239377538168e-21,3.33067272110256e-19
"ENSG00000004838.14",294.741720678882,-2.76525795722894,0.296594121593079,-9.32337411940624,1.12698145937418e-20,3.98126275746485e-19
"ENSG00000004848.8",43.2372947760578,-5.0212243055789,0.391270260848251,-12.8331355792111,1.06946619104245e-37,2.21248703522423e-35
"ENSG00000005108.16",84.3904974849792,-1.0694896400438,0.241191979228301,-4.4341841029111,9.24216249497234e-06,3.95298337865318e-05
"ENSG00000005187.12",216.513470292057,-2.36092095048233,0.230071473185189,-10.2616848486122,1.04860944423126e-24,6.06716562943947e-23
"ENSG00000005379.17",1072.31974255107,-1.06347830413982,0.181496756655531,-5.85948930293136,4.64292791330241e-09,3.63298054625644e-08
"ENSG00000005421.9",12.8026770299166,-1.13094245409508,0.431231149522245,-2.62258989256235,0.00872642437907685,0.0188108740213444
"ENSG00000005961.19",330.067600432314,-1.1145726824999,0.224637421845258,-4.96165186256312,6.98961906920025e-07,3.72624186047316e-06
"ENSG00000005981.13",14.6868317721064,-1.23147484088139,0.349045217056678,-3.52812409597185,0.000418515902933501,0.00125940176902007
"ENSG00000006047.13",1091.15972245203,-1.21046271567076,0.210862918443921,-5.7405195972979,9.43864969749189e-09,6.97634973770627e-08
"ENSG00000006071.15",14.3503946200134,-1.99558054737871,0.440112449102412,-4.53425153378098,5.78081065553003e-06,2.57605751139658e-05
"ENSG00000006128.12",8.66731826759458,-3.25244811033329,0.437283110948551,-7.43785439889985,1.02333759353688e-13,1.52393039045812e-12
"ENSG00000006468.14",461.802231912234,-1.90102258826718,0.222401972106954,-8.54768764079559,1.25579025943945e-17,3.113060750038e-16
"ENSG00000006534.16",1786.67671649023,-1.57198306781009,0.209526912111216,-7.50253536393308,6.25951190181208e-14,9.56929953474259e-13
"ENSG00000006611.17",499.708778154771,-4.00529482193384,0.496448952519838,-8.06788855451112,7.15242871044021e-16,1.4039265528834e-14
"ENSG00000006740.17",233.594222622127,-1.91085793668819,0.215292260388215,-8.87564621804115,6.95285247808324e-19,2.01345645377404e-17
"ENSG00000006747.15",676.300361777234,-1.48335917453411,0.249445643463719,-5.94662289521948,2.73731039364954e-09,2.21480297354491e-08
"ENSG00000007001.13",3.6654339196204,-1.16605392191591,0.222715037365467,-5.23563175486197,1.64421483399816e-07,9.80731005319457e-07
"ENSG00000007062.12",1763.5583808762,-3.51480939490772,0.4474608077352,-7.85501061578499,3.99738292209017e-15,7.17085111089364e-14
"ENSG00000007174.18",50.2860620853017,-1.66580848408761,0.269543106650281,-6.1801190347224,6.40532868807275e-10,5.76499629903662e-09
"ENSG00000007216.15",109.659310371392,-3.89773499972134,0.430887755245262,-9.04582446884048,1.48539942860134e-19,4.63780086523998e-18
"ENSG00000007306.15",2096.33980905483,-1.55842011843534,0.416563175068777,-3.74113750736137,0.000183189253158442,0.000598136728037261
"ENSG00000007372.24",206.573885374688,-1.28548238686197,0.319111815411119,-4.02831335218927,5.61784350896684e-05,0.00020389588280178
"ENSG00000007402.12",137.048642267318,-1.44564500672497,0.175068454047927,-8.25759851817286,1.48632512914106e-16,3.20876617219071e-15
"ENSG00000007516.14",309.205745161415,-1.47796837523185,0.206162699633318,-7.16894170410348,7.55797291867496e-13,1.01797222130875e-11
"ENSG00000008226.20",80.5429010624355,-1.30048571394283,0.266592046664056,-4.87818646586117,1.07065685827452e-06,5.51851740751785e-06
"ENSG00000009694.13",17.4406996495166,-1.94704028556569,0.309243681634477,-6.2961360286322,3.05156607361089e-10,2.87519115375999e-09
"ENSG00000009765.15",77.8662223444899,-5.30482698897864,0.358736475666068,-14.787531652947,1.76301551328112e-49,1.49109629705623e-46
"ENSG00000009950.16",227.40758170807,-2.95822743445909,0.317024675248191,-9.33122140143558,1.04657804587318e-20,3.71089991209977e-19
"ENSG00000010282.15",2.63955752472364,-1.47936831175413,0.295313161323824,-5.00948994322654,5.45744783281601e-07,2.97167903579733e-06
"ENSG00000010361.14",683.854280393739,-1.00300507849238,0.126662644762184,-7.91871257998418,2.39982370319767e-15,4.43789906168182e-14
"ENSG00000010379.16",12.306936064079,-1.45247369735045,0.327246865149227,-4.43846481673126,9.06027908299435e-06,3.88050916459019e-05
