"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","GO:0008544","epidermis development","129/3041","287/18842",0.449477351916376,2.78495635146608,13.3676777577334,4.97143455473356e-31,2.92320351818333e-27,2.92320351818333e-27,"388697/643414/124842/8689/374454/100129271/6704/196374/353137/342574/360/6701/242/3853/10468/7976/4909/79755/3851/80199/51350/338785/84283/3909/247/2171/110806278/3918/5266/121391/84648/3713/29986/344167/80736/353139/1001/5357/55612/2709/7062/8399/9935/3857/3872/125981/254910/353132/388533/3866/2069/5308/353145/3852/9333/5744/9076/4014/7124/43847/353133/8456/10083/2627/3887/112802/6703/79152/2304/1475/6707/9119/3888/3890/9573/182/204219/1823/8626/5948/25818/2312/3885/7051/84518/29841/6662/51083/6699/1832/353131/388698/2118/3854/3891/3881/286887/59344/3848/8796/6698/3868/10626/50604/3882/57822/1308/646/5317/375791/3889/5650/3861/643418/3858/3784/163778/353135/2810/1294/6278/348807/6706/5017/11005/3850/353142/23581/6705",129
"GO:0003341","GO:0003341","cilium movement","117/3041","264/18842",0.443181818181818,2.74594929897462,12.5329125823767,1.41368018606856e-27,4.15621974704156e-24,4.15621974704156e-24,"7802/79820/196385/23639/83853/150483/257062/115948/8701/374407/80217/257177/54777/26150/8382/122664/146754/55036/89876/1767/388701/161582/135138/286464/25876/55329/374739/115811/79925/84071/123872/26074/145788/1770/202500/158787/89765/126820/6870/27019/219670/345895/79781/361/154865/152015/93233/56171/152110/5991/80258/146845/284076/26140/389799/139212/127003/85478/151651/10233/159686/129881/54768/53340/9576/114327/92749/199223/27285/138255/90506/246176/4184/27156/143241/64518/255101/387885/147700/642987/201625/200373/286207/79816/26206/144535/144406/79730/338879/83659/219681/6863/25790/146279/55130/93190/8632/339778/1768/255411/79846/138162/222235/83450/118491/84688/83538/134121/83894/64147/64800/154313/348807/79819/84217/84229/57119",117
"GO:0043588","GO:0043588","skin development","106/3041","236/18842",0.449152542372881,2.78294383537975,12.0916356995341,1.1125669026516e-25,2.18063112919713e-22,2.18063112919713e-22,"388697/643414/8689/374454/6704/196374/353137/342574/360/6701/242/3853/10468/7976/3851/80199/51350/338785/84283/247/110806278/5266/121391/84648/3713/29986/344167/353139/1001/55612/7062/8399/9935/3857/3872/125981/254910/353132/2069/353145/3852/9076/4014/7124/353133/8456/168002/2627/3887/6261/112802/6703/3655/79152/2304/1475/6707/9119/3888/3890/182/204219/1823/8626/25818/2312/7051/84518/81031/6662/51083/6699/1832/353131/388698/2118/3854/3891/286887/59344/3848/8796/6698/3868/10626/50604/57822/5317/375791/3889/3861/3673/643418/3858/163778/353135/2810/6278/348807/6706/121549/11005/3850/353142/23581/6705",106
"GO:0031424","GO:0031424","keratinization","54/3041","79/18842",0.683544303797468,4.23523241438734,12.6411268651574,4.06250774202623e-25,5.97188638077856e-22,5.97188638077856e-22,"388697/643414/374454/6704/196374/353137/6701/3853/3851/51350/338785/5266/121391/84648/3713/353139/1001/7062/254910/353132/353145/3852/4014/353133/3887/112802/6703/6707/9119/3888/3890/204219/25818/2312/7051/84518/6699/353131/3854/3891/286887/3848/6698/3868/3889/643418/3858/163778/353135/6706/3850/353142/23581/6705",54
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","102/3041","237/18842",0.430379746835443,2.6666278164661,11.3270250296907,5.27518120735309e-23,5.08115285819735e-20,5.08115285819735e-20,"7802/79820/196385/23639/83853/150483/257062/115948/8701/374407/80217/257177/54777/26150/8382/122664/146754/55036/1767/388701/135138/286464/55329/374739/115811/79925/84071/26074/145788/1770/202500/158787/89765/126820/6870/27019/219670/345895/79781/154865/152015/93233/56171/5991/80258/146845/284076/26140/389799/139212/127003/85478/151651/10233/159686/129881/114327/92749/199223/27285/138255/90506/246176/4184/27156/143241/64518/255101/147700/642987/201625/286207/79816/26206/144535/144406/79730/338879/83659/219681/6863/25790/146279/55130/93190/8632/339778/1768/255411/79846/138162/222235/83450/84688/83538/134121/64147/64800/154313/84217/84229/57119",102
"GO:0060285","GO:0060285","cilium-dependent cell motility","102/3041","237/18842",0.430379746835443,2.6666278164661,11.3270250296907,5.27518120735309e-23,5.08115285819735e-20,5.08115285819735e-20,"7802/79820/196385/23639/83853/150483/257062/115948/8701/374407/80217/257177/54777/26150/8382/122664/146754/55036/1767/388701/135138/286464/55329/374739/115811/79925/84071/26074/145788/1770/202500/158787/89765/126820/6870/27019/219670/345895/79781/154865/152015/93233/56171/5991/80258/146845/284076/26140/389799/139212/127003/85478/151651/10233/159686/129881/114327/92749/199223/27285/138255/90506/246176/4184/27156/143241/64518/255101/147700/642987/201625/286207/79816/26206/144535/144406/79730/338879/83659/219681/6863/25790/146279/55130/93190/8632/339778/1768/255411/79846/138162/222235/83450/84688/83538/134121/64147/64800/154313/84217/84229/57119",102
"GO:0010817","GO:0010817","regulation of hormone levels","166/3041","487/18842",0.340862422997947,2.11197953769395,10.9069162927596,6.04899149785399e-23,5.08115285819735e-20,5.08115285819735e-20,"54657/53630/216/2625/8854/6928/4828/3172/1636/2697/125/2852/4602/6352/8447/5972/1646/4856/150/7367/10050/222546/145226/134/9971/2494/3553/441282/3767/6755/3717/6664/6804/25924/2692/6833/57016/3976/10815/1592/5468/1511/116534/51170/1113/6616/3625/3651/2690/1803/2781/6870/130/3952/1559/6567/1645/131177/7351/1565/6927/6716/6566/8989/15/54577/5028/6469/4544/3458/5122/5991/4986/2798/9060/640/3569/8608/25825/7124/1735/54600/121214/9854/65266/50506/8431/2304/54361/3670/8140/8622/115111/1428/54576/1813/1589/133/54578/5799/5950/111/5443/51083/6715/57393/6822/7364/183/84417/3623/114131/6121/6863/389692/54658/79644/5578/152/8912/9024/131/90527/29785/54905/7849/3283/5959/114897/8938/84634/3589/339761/1577/4825/1586/51085/4224/389434/3170/3249/1109/1066/3292/3784/1056/290/222183/7173/1588/6528/1583/7366/6343/338442/10599/54490/27284/2784/51200/220/54097/4311/2645/6770/124",166
"GO:0060294","GO:0060294","cilium movement involved in cell motility","101/3041","235/18842",0.429787234042553,2.66295661421565,11.2536801993272,9.76930589962884e-23,7.1804398362272e-20,7.1804398362272e-20,"7802/79820/196385/23639/83853/150483/257062/115948/8701/374407/80217/257177/54777/26150/8382/122664/146754/55036/1767/388701/135138/286464/55329/374739/115811/79925/84071/26074/145788/1770/202500/158787/89765/126820/6870/27019/219670/345895/79781/154865/152015/93233/56171/80258/146845/284076/26140/389799/139212/127003/85478/151651/10233/159686/129881/114327/92749/199223/27285/138255/90506/246176/4184/27156/143241/64518/255101/147700/642987/201625/286207/79816/26206/144535/144406/79730/338879/83659/219681/6863/25790/146279/55130/93190/8632/339778/1768/255411/79846/138162/222235/83450/84688/83538/134121/64147/64800/154313/84217/84229/57119",101
"GO:0035082","GO:0035082","axoneme assembly","56/3041","93/18842",0.602150537634409,3.73091760279761,11.5818761058794,6.3362109623506e-22,4.13965782873572e-19,4.13965782873572e-19,"136332/23639/115948/374407/80217/54777/146754/55036/89876/1767/161582/286464/27148/25876/55329/152206/79925/84071/123872/145788/6101/1641/89765/126820/27019/345895/93233/56171/2302/26140/139212/79864/85478/146562/10233/159686/54768/92749/255101/387885/201625/286207/164781/352909/55130/8632/79846/138162/83538/51364/154313/348807/85452/79819/84217/84229",56
"GO:0030216","GO:0030216","keratinocyte differentiation","73/3041","147/18842",0.496598639455782,3.07691929122849,11.0900486466436,2.9660248189919e-21,1.74402259356724e-18,1.74402259356724e-18,"388697/643414/8689/374454/6704/196374/353137/360/6701/3853/3851/51350/338785/247/110806278/5266/121391/84648/3713/29986/353139/1001/7062/9935/125981/254910/353132/2069/353145/3852/4014/353133/8456/3887/112802/6703/1475/6707/9119/3888/3890/182/204219/25818/2312/7051/84518/6699/1832/353131/2118/3854/3891/286887/3848/8796/6698/3868/10626/50604/5317/3889/3861/643418/3858/163778/353135/6278/6706/3850/353142/23581/6705",73
