"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",195,-0.593748198769887,-2.17887292398046,1e-10,2.5e-09,2.5e-09,4406,"tags=54%, list=20%, signal=43%","3606/973/822/3059/3558/2268/3133/3459/10006/2000/3593/8807/717/6357/3566/10261/3594/2589/3689/7042/3600/940/567/1230/958/23166/3702/3603/1435/8477/6772/894/2147/8651/11184/3561/6354/9437/3937/2833/4690/7454/3662/9450/919/3683/27240/5788/4050/3560/3383/5552/3717/7535/6890/3559/7097/3569/6775/920/6688/114548/924/6351/7124/2316/6347/917/2634/50852/2533/2069/6891/914/916/1234/10225/6356/356/2213/925/7040/941/729230/915/3824/942/5551/10333/56253/3458/7453/6367/3001/4283/6352/6123/6363/3002/3589/10563/4318/3553/1956/3848",NA
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",199,-0.576204971298718,-2.107085321773,1e-10,2.5e-09,2.5e-09,4219,"tags=47%, list=19%, signal=38%","4792/2643/969/4790/694/80830/55016/837/10068/9246/94240/6773/10964/3587/3601/10135/3566/81030/3663/81894/5698/7130/3659/684/710/55601/10906/3600/3431/64761/1026/567/22914/952/958/3075/6772/64135/7128/8651/1439/129607/6354/7412/3937/669/3662/3560/3383/84166/3717/6890/3569/6775/10561/6375/4600/10791/6347/2841/23586/4940/219285/5292/9636/3620/4599/3433/8638/10875/2209/55008/942/1240/7378/4939/834/715/7453/3001/3434/8743/3437/4283/716/6352/57823/115361/4502/91543/3627/29126/6373/163351",NA
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,-0.588027639345351,-1.9716814234809,1.27883655888728e-06,1.16925274289843e-05,1.16925274289843e-05,3754,"tags=43%, list=17%, signal=36%","9246/94240/6773/10964/3566/4938/81894/5698/3659/684/55601/10906/3600/3431/64761/567/6402/83666/1435/64135/10544/129607/6890/10561/2634/219285/9636/4599/3433/8638/55008/834/7453/27074/10161/3437/716/115361/91543/54809/3627/6373",0.643551836150722
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",200,-0.516086605403535,-1.89961848487344,5.60087307775139e-08,9.33478846291898e-07,9.33478846291898e-07,4063,"tags=34%, list=19%, signal=28%","6520/694/3691/8877/7421/79651/2872/2040/26355/6256/54541/578/10906/26471/1026/1969/1647/6281/10769/11202/894/3006/8651/1606/10544/10904/51278/50619/5912/3714/3265/4033/6890/1050/7164/127544/7704/5784/100/29948/4851/23612/6382/1839/7040/7378/10057/834/1030/22824/8851/4084/10397/2760/64065/1012/22891/3872/5268/2877/4808/2810/7062/247/8626/9635/3552",0.719512826338911
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",33,0.675565305075539,1.84704437254096,0.000334528935018027,0.00238949239298591,0.00238949239298591,1591,"tags=36%, list=7%, signal=34%","1113/6927/10590/3651/1803/3170/1641/6833/57586/6750/3670/5080",0.49849310876659
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",198,-0.498844710950002,-1.82504923677718,8.07260469730615e-07,1.00907558716327e-05,1.00907558716327e-05,4251,"tags=48%, list=19%, signal=39%","2773/2014/4792/2643/969/4790/3656/10006/136/391/3593/10316/8877/8807/8685/2867/6361/3587/3601/10135/3566/558/3759/7130/3659/684/23533/3600/1880/1026/3738/4481/958/23166/9180/6402/1435/6504/1536/6354/3937/10663/6401/3560/3383/19/10148/5996/1236/3604/7097/929/3569/114548/9435/23601/5027/3575/719/962/4323/6347/2069/4609/4049/1839/5029/5054/1240/64127/6098/4210/133/27074/6367/8743/1318/4283/6352/3678/623/10125/4084/970/2769/6372/3553/10630/3037/6870/2015/4973/3627/1440/6373/3552",0.659444398037935
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",199,-0.491684188714635,-1.79800693953294,1.40310329147811e-06,1.16925274289843e-05,1.16925274289843e-05,4782,"tags=49%, list=22%, signal=39%","1326/330/4082/8744/4814/50486/150094/5971/604/3606/8303/4792/4783/2643/969/5209/4790/694/10957/25976/80149/51561/3593/8877/2355/6515/1844/4170/595/3914/3601/10135/3726/8553/4088/5806/80176/7280/22822/2114/7130/3659/25816/8942/1880/1026/1647/5341/1435/10769/24145/64135/7128/5966/4780/329/51278/9242/3371/8061/11080/3383/19/1052/597/6890/3604/7097/7185/3569/1437/127544/9945/3575/6351/7124/6347/4609/23586/1839/5054/3433/941/5271/182/960/6446/6352/5328/4084/57007/6372/3553/4973/3627/5055/6373/3552",0.643551836150722
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",86,-0.495813210425024,-1.62784505064129,0.00209838946479739,0.0116577192488744,0.0116577192488744,3689,"tags=43%, list=17%, signal=36%","6773/3601/3566/3594/3659/578/23533/928/1271/952/1230/9180/1435/6772/8651/1439/3561/6354/4050/10148/3559/7097/929/3569/1437/7124/3581/5292/7040/960/4283/10563/3553/3627/5320/6373/948",0.431707695803346
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,-0.400673163521248,-1.47480314320994,0.00142614481952988,0.00891340512206174,0.00891340512206174,5133,"tags=43%, list=23%, signal=33%","374/79709/800/5654/57692/7474/627/7057/6387/5817/2006/7456/4017/3956/10398/822/5270/2014/2247/4853/8572/2200/6876/5352/2335/1296/6422/5806/3600/1634/5396/1647/26585/7128/1307/50509/4638/7078/7412/1289/6696/1301/25890/3371/2697/2191/25878/3569/11010/3918/4323/649/2316/4035/6382/3909/6535/2619/26577/7424/10085/7980/4015/5054/10631/3673/7040/10272/22943/7045/4312/960/3678/9244/8076/4314/2817/667/2201/6372/10409/131578/1294/1893/6591/5744",0.45505986738723
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",184,-0.390679040925705,-1.4325262764089,0.0042876108429177,0.0194891401950804,0.0194891401950804,2210,"tags=26%, list=10%, signal=24%","9435/7704/1237/7367/495/8471/55190/50489/7781/4599/941/6559/51806/105375355/4210/3458/1907/5650/6446/3195/6620/51226/9127/8115/10686/2261/91543/6261/4842/65989/3963/7356/5055/3866/242/3860/5077/5317/27076/3851/58157/9073/3852/7051/57016/6707/57451/3848",0.407017918923954
