"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","118/1492","217/9400",0.543778801843318,3.42595223681447,15.7040520796369,5.87673159804612e-40,2.06273279091419e-37,2.06273279091419e-37,"388697/1288/8689/374454/6704/196374/353137/342574/6701/242/10686/3853/285848/3851/51350/9080/376497/6280/338785/84283/3909/11240/6283/8687/110806278/126410/3918/121391/84648/3713/338324/353139/8688/9075/23562/54474/7062/57402/3884/3857/1830/3872/254910/353132/3866/1365/3728/6273/353145/79852/3852/9333/9076/4014/353133/3887/121214/112802/5522/6703/3655/5523/6707/100506658/9119/3888/3890/204219/1823/6785/2312/9071/147409/6276/9073/3885/7051/6279/667/192666/126637/3860/6699/1832/6274/353131/5521/388698/3854/6700/3891/1828/3881/286887/100132463/59344/3848/1287/26285/6698/3868/3882/1308/5317/3883/3889/3861/3858/163778/353135/1294/6278/6706/51702/3850/353142/23581/6705",118
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","106/1492","298/9400",0.355704697986577,2.24103496050525,9.45617799584197,2.18265523475896e-17,3.83055993700198e-15,3.83055993700198e-15,"56832/1440/5473/8792/83729/26525/6366/7040/6352/6346/10563/4050/6356/27189/3559/3553/1232/11009/6372/6359/3557/6375/10803/970/3976/50615/2921/56477/3625/4982/2690/6374/23495/27179/920/356/3952/9173/1436/3579/3458/130399/6355/5618/1234/3569/6363/3604/4803/7124/59067/658/27177/4283/282618/1524/8743/8794/3627/3568/146433/9573/85480/392255/3552/3581/1437/651/56300/943/3556/10344/268/2826/655/3623/643/6351/55504/282617/55540/90865/729230/10148/2057/53833/6370/3595/6846/3589/50604/1237/3575/3592/57007/282616/6367/1236/3560/4049/84639/8741/6373/4804/133396/9518",106
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","120/1492","371/9400",0.323450134770889,2.03782256491043,8.85894781626803,6.85454901632483e-16,8.01982234910005e-14,8.01982234910005e-14,"1816/1081/10800/4828/117/1139/150/5029/1241/5732/134/6752/719/5021/6344/6755/84109/8001/2895/1146/2555/2692/2831/2558/3274/4985/2568/2893/23620/1511/1128/55879/2690/6751/2561/283869/6870/2743/100996758/3952/387129/222642/432355/3357/5028/1136/4544/2900/4986/5618/5031/3001/27334/2798/113091/2902/56413/3355/134864/4922/4543/887/57152/6750/1143/4852/5027/2925/2899/2556/186/5697/1813/2569/8973/133/5645/2742/5644/5443/5026/2891/55584/51083/90226/23566/154/1134/5646/183/10161/114131/2359/64106/6863/1131/9127/152/79924/1137/155/1907/339403/1269/147/84634/623/2859/80763/553/797/27346/2903/56923/718/3363/4829/6343/53637/140",120
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","45/1492","100/9400",0.45,2.83512064343164,8.01336735446027,4.491715412856e-12,3.94148027478114e-10,3.94148027478114e-10,"5473/6366/6352/6346/10563/6356/3559/1232/11009/6372/6359/6375/10803/2921/56477/6374/1436/3579/6355/1234/3569/6363/7124/4283/1524/8743/8794/3627/146433/10344/2826/643/6351/729230/53833/6370/6846/50604/1237/57007/6367/1236/3560/4049/6373",45
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","115/1492","404/9400",0.284653465346535,1.79339314628514,7.08021278149886,4.18850583673926e-11,2.94033109739096e-09,2.94033109739096e-09,"8689/374454/84962/7855/6330/2697/196374/342574/1824/3853/81029/7479/56097/56137/7976/11211/5100/3851/56135/51350/154810/338785/2555/342184/2558/56143/8642/8687/2568/9752/55879/121391/79838/4430/1001/8688/54798/2561/28513/1496/1501/54474/29930/3884/3857/1006/1830/3872/2260/3866/3728/8323/3852/124590/10083/3887/112802/8313/54361/9119/2556/6327/3888/8325/3890/1825/64005/1823/56145/2196/56101/84152/2569/56138/147409/10413/3885/4640/192666/56139/56144/1010/3860/1014/1832/7473/7482/3854/375612/56141/1004/3891/1828/3881/286887/3848/56134/1012/5101/3868/56133/56142/3882/1015/5317/3883/3889/56146/3861/56136/3858/1016/1956/3850/29119",115
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","67/1492","199/9400",0.336683417085427,2.12119579128888,6.94356311952142,3.11987943422984e-10,1.82512946902446e-08,1.82512946902446e-08,"1816/6530/2770/1139/150/5029/134/6572/2793/8001/5332/5582/2555/2558/3274/6539/4985/2568/2893/6512/1128/55879/2561/170572/6870/2743/3357/5028/1136/112/2900/4986/5031/2902/3355/63910/1143/2899/2556/43/6538/1813/6540/2569/8973/111/5443/5026/2891/154/113/6863/1131/9127/5578/152/1137/1103/6511/147/6507/2903/64805/3363/3359/2784/140",67
"Organismal Systems","Digestive system","hsa04976","Bile secretion","37/1492","90/9400",0.411111111111111,2.59011021745606,6.58363201528843,7.7556984112037e-09,3.88892877476071e-07,3.88892877476071e-07,"54657/6580/7367/9971/6344/6523/123264/79799/483/1080/760/64240/28234/361/54577/482/112/54600/8431/54576/54578/8714/111/115072896/6822/7364/113/54658/3781/8671/64241/6513/7366/6343/10599/54490/486",37
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","30/1492","68/9400",0.441176470588235,2.77953004258003,6.39682281846293,2.9424496378874e-08,1.2909997786231e-06,1.2909997786231e-06,"54657/53630/216/8854/125/1555/7367/145226/79799/1592/130/1559/54577/8608/54600/54576/54578/7364/6121/54658/131/29785/54905/5959/339761/1577/7366/54490/220/124",30
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","29/1492","66/9400",0.439393939393939,2.76829961816557,6.2616073225842,5.57971847914216e-08,2.17609020686544e-06,2.17609020686544e-06,"54657/1646/7367/79799/51170/1645/6716/54577/1571/54600/54576/1589/9420/54578/6715/7364/54658/79644/3283/5959/3291/1577/1586/1109/3292/1588/1583/7366/54490",29
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","16/1492","26/9400",0.615384615384615,3.87708805939369,6.38071372344852,1.62932001990536e-07,5.7189132698678e-06,5.7189132698678e-06,"6928/5313/3172/222546/2494/3651/5080/3174/6927/168620/3171/389692/3110/4825/3170/2645",16
