"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000001084.13",3388.94860338725,1.58677410028431,0.197603389320877,8.03009556535307,9.73967690038416e-16,1.88095466049326e-14
"ENSG00000005243.10",1061.51277605415,1.6656802145785,0.187473528953691,8.88488216909786,6.39885526872082e-19,1.86429059885852e-17
"ENSG00000005469.12",1481.40163447453,1.18229868026082,0.129132486221776,9.15570291297808,5.40050647339045e-20,1.79950132269775e-18
"ENSG00000006016.11",354.567391865434,1.59410804752414,0.324619125048901,4.91070280373654,9.07505430778846e-07,4.73100546908566e-06
"ENSG00000006059.4",28.6543608123284,3.53667161976683,0.398128681188791,8.88323747288569,6.49421252584329e-19,1.88851742536515e-17
"ENSG00000006606.9",34.0405181154022,2.88208713645174,0.278970636364073,10.3311487331249,5.09467639887812e-25,3.03317835457845e-23
"ENSG00000006788.14",2.56267092429252,1.83940272532206,0.360375160935475,5.10413292788347,3.32314632524863e-07,1.88036984905253e-06
"ENSG00000007129.18",80.7644098485646,1.0492588389446,0.217343130622902,4.82766046452648,1.38146365224778e-06,6.98161138559529e-06
"ENSG00000008311.15",709.308057768871,1.30207048051679,0.19552554110294,6.65933705219247,2.75065475749624e-11,3.00752198504038e-10
"ENSG00000009790.15",370.587629553417,1.36552906183424,0.169254474421732,8.06790524445304,7.15145131022621e-16,1.4039265528834e-14
"ENSG00000010610.10",2257.47347254403,1.05107518333922,0.176354139699989,5.96002557766599,2.5219845584799e-09,2.05212755980894e-08
"ENSG00000010932.17",217.208898979989,1.1594790500439,0.255331436915778,4.54107439353953,5.59682766311782e-06,2.50299185506401e-05
"ENSG00000011590.14",61.6857600004448,1.00225340174842,0.169383716398419,5.91705875310323,3.27749641890576e-09,2.62236190935042e-08
"ENSG00000011600.12",2287.98908115073,1.09795262252186,0.187582377404425,5.85317574984507,4.82274012922831e-09,3.76548235558211e-08
"ENSG00000011677.13",210.448276333429,1.85811978385548,0.375639776096597,4.94654693697202,7.55415190973896e-07,4.00492611202901e-06
"ENSG00000016602.9",3519.80702699897,3.48632965567863,0.390075724070707,8.93757145227187,3.97816468120442e-19,1.18422467466578e-17
"ENSG00000019186.10",1745.81525140604,1.50017045153382,0.321865332514717,4.66086372152313,3.14885172121046e-06,1.48683711157846e-05
"ENSG00000019549.13",2044.75919883644,2.62938383828278,0.18818772106205,13.9721328439692,2.30615442158052e-44,1.14337545770637e-41
"ENSG00000021826.17",187.969246580698,1.17608165203916,0.359663584101322,3.26994920816851,0.00107566796766833,0.00293834027531781
"ENSG00000023909.10",2253.17148598433,1.03993659229965,0.164480475050464,6.32255343365581,2.57276014555999e-10,2.45951764447218e-09
"ENSG00000024422.12",7691.66718722476,1.53261870122919,0.152233372449829,10.0675605917769,7.68607580964371e-24,4.07787446461466e-22
"ENSG00000025708.14",14313.3817681295,1.7803101453462,0.165535471690182,10.7548559059187,5.62218203238255e-27,4.18883687471554e-25
"ENSG00000026508.20",30230.0932929857,1.31897328636511,0.152535209963503,8.64700869183382,5.28669451029486e-18,1.36712398685287e-16
"ENSG00000026559.14",592.195881217182,1.15913780848051,0.310949374087284,3.72773803415066,0.000193206050675717,0.000627423285514504
"ENSG00000026751.17",1122.20194670413,1.56772146055137,0.20941874716229,7.48606073617876,7.09715621761457e-14,1.07867771772582e-12
"ENSG00000029153.14",4249.77472987838,1.08842329685999,0.152178332006575,7.15228825620827,8.53431162998932e-13,1.13933456467954e-11
"ENSG00000039987.7",32.0264469329711,3.75405732883072,0.384317915537041,9.76810389800551,1.5431293092323e-22,6.99908934010787e-21
"ENSG00000041353.10",2483.57771583151,1.00821919725999,0.169629675231624,5.9436486916767,2.78746666849559e-09,2.25095174162481e-08
"ENSG00000049249.9",226.765982300086,1.05227698650837,0.204384336363796,5.14852069991979,2.62548816086173e-07,1.51269359955399e-06
"ENSG00000050730.16",133.965647146895,1.79894262369565,0.256681175510838,7.00847119043871,2.40936219659602e-12,3.05483330358533e-11
