"ID","aDC_xCell","Adipocytes_xCell","Astrocytes_xCell","B-cells_xCell","Basophils_xCell","CD4+_memory_T-cells_xCell","CD4+_naive_T-cells_xCell","CD4+_T-cells_xCell","CD4+_Tcm_xCell","CD4+_Tem_xCell","CD8+_naive_T-cells_xCell","CD8+_T-cells_xCell","CD8+_Tcm_xCell","CD8+_Tem_xCell","cDC_xCell","Chondrocytes_xCell","Class-switched_memory_B-cells_xCell","CLP_xCell","CMP_xCell","DC_xCell","Endothelial_cells_xCell","Eosinophils_xCell","Epithelial_cells_xCell","Erythrocytes_xCell","Fibroblasts_xCell","GMP_xCell","Hepatocytes_xCell","HSC_xCell","iDC_xCell","Keratinocytes_xCell","ly_Endothelial_cells_xCell","Macrophages_xCell","Macrophages_M1_xCell","Macrophages_M2_xCell","Mast_cells_xCell","Megakaryocytes_xCell","Melanocytes_xCell","Memory_B-cells_xCell","MEP_xCell","Mesangial_cells_xCell","Monocytes_xCell","MPP_xCell","MSC_xCell","mv_Endothelial_cells_xCell","Myocytes_xCell","naive_B-cells_xCell","Neurons_xCell","Neutrophils_xCell","NK_cells_xCell","NKT_xCell","Osteoblast_xCell","pDC_xCell","Pericytes_xCell","Plasma_cells_xCell","Platelets_xCell","Preadipocytes_xCell","pro_B-cells_xCell","Sebocytes_xCell","Skeletal_muscle_xCell","Smooth_muscle_xCell","Tgd_cells_xCell","Th1_cells_xCell","Th2_cells_xCell","Tregs_xCell","ImmuneScore_xCell","StromaScore_xCell","MicroenvironmentScore_xCell"
"TCGA-EK-A2PI-01A-11R-A18M-07",3.30108301863111e-22,5.6759347560785e-23,5.04971541379857e-21,1.17366750133758e-22,2.16174191420558e-06,3.94601396089971e-23,0,1.052122042142e-22,4.83932122837649e-28,1.388187304533e-22,1.98512050054059e-23,0,0,0,0,0,7.23188539568914e-24,0,0,1.94022608719176e-22,9.80579739850992e-22,0,0,0,6.99017555281256e-22,2.61748374679987e-22,3.0913586125748e-22,0,0,0,1.0368293153543e-24,1.51389038295015e-23,1.98685996996087e-22,0,9.03691808695174e-23,3.12056199153129e-24,5.731255010413e-23,4.9662777212477e-24,1.04853931742698e-06,0,0,3.93991605578477e-23,0,0,0,0,0,0,0,4.9345187038472e-07,2.00986908556337e-22,2.04074168172914e-24,0,1.62629875048672e-24,0,1.20255005333427e-21,2.55553906480226e-25,6.34811706312444e-24,0,6.54866440021412e-05,0,2.16074626709362e-23,0,1.48514379547785e-22,3.48073098510769e-22,8.68178321346517e-22,1.21625141985729e-21
"TCGA-MY-A5BD-01A-11R-A26T-07",1.75975020136811e-22,2.96340351568291e-22,0,0,2.03763783852073e-06,0,0,0,5.60720496617811e-24,1.56993967686119e-06,1.12896983970288e-23,6.88497585022257e-23,0,0,0,0,1.46554224202349e-25,1.46099974187674e-23,2.41996272433364e-23,0,0,1.21243556823338e-22,0,0,1.22293911632868e-21,5.88198093513719e-22,1.81577091819833e-22,0,2.05598241977298e-23,0,1.47724126316998e-23,0,0,2.79656863304116e-25,0,1.74109501436042e-24,7.84604799404956e-23,0,2.17196148621968e-06,0,1.5596086743811e-22,5.22314547637066e-24,4.33642688900426e-21,0,1.66092847446628e-22,3.2675067912834e-25,0,0,0,2.98722699217225e-22,1.04747839764238e-06,1.41153126676035e-23,0,3.60152264590305e-08,5.31316735754891e-23,3.94214956484267e-22,4.02251027167741e-25,0,0,4.38592948907928e-05,0,0,4.03637829323038e-22,0,2.30702788509116e-22,7.59639733948487e-22,9.90342522457602e-22
"TCGA-HM-A3JK-01A-11R-A32Y-07",1.89482969211509e-22,2.92543123659762e-23,0,0,2.03116512661647e-06,0,2.16006061723426e-22,0,9.41689001131723e-07,1.565757629339e-06,1.3408522390105e-22,0,1.94286435260566e-22,4.07549642848092e-22,1.96623498159025e-08,0,3.69195530925325e-08,0,0,0,1.9204833378755e-22,0,1.71093223236226e-08,0,1.42530205178896e-21,0,0,5.17058366143171e-28,6.04515486794706e-23,0,0,0,0,5.96363750252028e-24,6.32559808331134e-23,5.59793403818768e-24,3.69249569689452e-08,0,1.11066138056126e-06,5.73194411928655e-22,0,3.75711631371191e-23,2.23553889353007e-05,8.18677894696975e-22,0,0,0,2.42433687615803e-23,0,9.20777388057568e-07,3.68449778251291e-22,0,3.24251745747001e-21,1.46323363964838e-07,8.01956518399706e-23,1.465309990843e-21,0,6.94112648743048e-24,7.22076584146784e-22,5.40768599984008e-05,0,2.21274122538198e-23,0,0,5.83328997297958e-23,8.23302348971241e-22,8.81635248701037e-22
"TCGA-HM-A3JJ-01A-21R-A21T-07",1.26937038489993e-22,0,0,7.68102129529727e-25,2.53662882745214e-06,1.20536289731991e-24,1.28950860251298e-23,0,4.10763143746052e-07,1.96434934255703e-06,1.8872184316898e-23,0,3.24386523934502e-22,0,8.6251753535985e-09,0,7.03892146140429e-08,0,0,0,3.52282657070632e-22,3.15951640899571e-22,1.22527695822344e-24,0,0,0,0,5.94556694013457e-28,0,1.50653166682429e-23,0,0,1.66029252103829e-22,0,0,0,3.12954754851056e-25,0,1.66517254327815e-06,0,0,0,1.63329654718447e-06,3.75217795390698e-22,6.39113257641923e-22,4.20230989818313e-24,0,0,3.050350176374e-22,8.5943353999228e-07,0,1.19676189199265e-23,9.92010993315548e-22,1.45227247859155e-07,0,1.04726006839525e-21,1.77593282692805e-23,4.39346686831134e-23,5.62801689309955e-22,6.62847860154801e-05,0,2.66530227426792e-24,0,0,4.14503173777667e-22,1.76141328535316e-22,5.90644502312983e-22
"TCGA-C5-A2LT-01A-11R-A18M-07",0,0,7.91211883783794e-21,2.8317391481096e-09,1.60490642889667e-06,6.46850063522535e-23,1.06683339167059e-22,0,2.21934845514131e-07,2.97975124206082e-06,1.65585927273348e-23,0,0,1.62053937559499e-22,0,0,1.60955375119099e-07,0,0,2.23171515111595e-22,6.96168445731201e-23,0,1.82701806453134e-21,0,9.49399572118715e-22,0,1.08228157256959e-21,0,0,0,0,2.47843285233838e-23,2.53965015948259e-23,1.01245343275209e-23,0,1.70044765343341e-24,4.93978663244184e-23,2.2160365232977e-24,1.33857019342867e-06,1.14199290214011e-22,2.20005429247675e-22,0,4.51888915242307e-22,0,0,1.2436517302411e-23,0,0,0,9.03466518509845e-07,0,2.58348395656261e-24,0,2.2512863033189e-07,1.64258006220869e-22,3.58022635510921e-21,0,3.4828672898446e-23,0,9.73958078668761e-05,0,2.06087018378288e-23,2.64884302244381e-23,1.04207999609944e-22,1.88782609874004e-09,5.09508208345918e-22,1.88782609874055e-09
"TCGA-DS-A0VN-01A-21R-A10U-07",1.49569614920312e-22,1.10300610172013e-22,5.4472937730831e-22,2.39553347621189e-08,2.16571565706133e-06,2.30728599739685e-23,0,0,1.20811128552725e-22,5.95974734580665e-06,6.74385140473944e-23,8.16356120540953e-23,1.06163183445753e-23,2.57663628502566e-22,2.39333883610171e-08,4.02681086880312e-22,2.80744550895059e-07,6.50908221246545e-23,1.39553951055973e-22,2.33188854369239e-22,0,0,1.09223303280349e-08,4.09003867981781e-23,0,0,0,0,0,0,5.73166508331905e-23,1.26955833321296e-24,5.5377750975108e-23,1.14205192533803e-23,5.69190952996926e-24,2.65066322748092e-26,0,0,1.41385584252014e-06,0,4.22749339824239e-22,6.0106122196228e-23,8.12685512314611e-06,0,3.45250510551633e-22,0,0,0,9.10047132728053e-22,1.39043010782649e-06,0,0,0,4.41388124041568e-08,0,2.94373852712888e-21,1.28717391310023e-23,2.44623161531494e-24,0,4.58113964664419e-05,0,0,0,3.68074868445682e-22,1.59702231747471e-08,5.51503050860064e-23,1.59702231747471e-08
"TCGA-EK-A2RB-01A-11R-A18M-07",0,0,4.98447458547241e-21,4.25868653136633e-23,4.39718685073004e-06,0,1.10080405312185e-22,4.38394176017279e-22,1.0725729383497e-07,8.89053935474313e-07,1.77103988590758e-22,2.4083778141974e-22,4.72441422260193e-22,0,0,6.89251062076794e-23,0,0,1.57129785020024e-22,0,0,2.12546099217003e-22,2.85023690075712e-24,0,0,1.09388120527963e-21,2.07964981661281e-22,1.77843075493508e-23,8.32533889122728e-23,2.84701454447282e-23,1.71281223631835e-23,7.56725829073773e-23,0,0,1.78906575057563e-23,0,0,0,1.02175751706183e-06,0,1.13838325843902e-21,0,1.64282871459199e-05,0,0,0,0,1.61505959748126e-22,1.36795986697577e-21,7.67643524936295e-07,4.36668687250564e-22,0,0,0,1.08532225120896e-22,2.05997627562162e-21,3.97870576609057e-23,0,0,3.91720046588787e-05,1.85568568900747e-22,0,0,0,2.46385149836249e-21,0,2.46385149836249e-21
"TCGA-R2-A69V-01A-11R-A32P-07",7.21726383590859e-24,2.88613602876908e-23,2.08381379036197e-21,9.83202116766356e-23,9.55304904840345e-06,2.06272889208905e-23,7.71054756942134e-22,1.4565617352107e-22,1.0256125295969e-08,4.91034889093828e-06,0,1.00075750769598e-22,0,1.21194330133513e-21,0,0,1.64956664291888e-07,4.96158857818414e-23,0,0,2.28394737644763e-22,4.84108953573788e-22,2.92604579861171e-23,0,0,0,0,0,0,0,9.47268721344406e-23,4.27780775318539e-23,0,2.7612945307644e-25,6.60114943786418e-08,6.48715970064395e-24,0,0,1.18673854610521e-06,0,6.60008165491081e-22,0,5.82446530990761e-06,0,2.05979393875746e-22,2.47693073372425e-24,0,0,0,0,0,0,0,1.74211949221035e-07,0,1.0708643771657e-21,3.78123526905767e-09,0,3.97898753157168e-23,3.20040117675739e-05,6.22109859163899e-23,1.8295664840044e-22,1.65874261560388e-24,4.0954722867081e-22,4.40076629190955e-08,1.28628048966227e-22,4.40076629190957e-08
"TCGA-JW-A5VH-01A-11R-A28H-07",1.15057869915478e-22,0,5.85717101309957e-21,0,1.04015155735098e-06,3.1698533938177e-23,4.8474149357459e-23,1.32915453986236e-23,0,1.20649731212819e-07,2.3116988749753e-23,4.34012619750157e-24,0,2.89238475065825e-22,2.54517133164688e-24,4.76498008454447e-23,0,1.16895780907886e-22,2.29762713793484e-23,1.4354308571273e-22,0,5.5749454563764e-23,6.73139758514425e-08,0,3.92629934255125e-23,0,0,0,8.86565994512044e-23,0,0,8.40181253964795e-24,0,0,3.82165797189051e-23,0,0,0,1.37126355799394e-06,2.30977033187142e-22,2.80409500664684e-23,0,1.17333850063037e-22,0,0,0,1.01248246804402e-26,0,0,8.48325055825881e-07,2.76033828023973e-06,0,0,0,0,2.50770830976012e-21,0,1.98571093210588e-23,2.69284081166367e-22,7.64020295301086e-05,2.56255435139813e-23,2.59025326224814e-24,3.37835676263886e-23,0,1.9438903613176e-22,1.96314967127563e-23,2.14020532844517e-22
"TCGA-C5-A3HF-01A-11R-A213-07",0,1.3944204860239e-22,1.82304119118376e-21,2.02668198846513e-23,2.07304805763217e-06,4.12263356931611e-23,1.08259748209583e-22,0,9.15424212624371e-07,3.28685168083012e-06,8.70577992093077e-24,0,8.85236959603317e-23,1.70652285039397e-22,5.86320597441085e-25,9.61468687206691e-23,0,0,1.03910523724879e-23,0,1.49997865018358e-22,0,0,3.75107510008886e-23,6.58048228994527e-21,2.87766433343469e-23,0,0,0,0,0,0,0,0,6.64125015230219e-22,0,0,1.18593485912751e-24,1.28137809307145e-06,0,0,1.16339272199811e-22,1.09321627249568e-20,0,3.84519479949291e-22,0,0,0,0,2.21460446589778e-22,3.1756640806013e-21,2.23962255139172e-24,3.34854489696255e-23,1.56227811351392e-07,0,3.43226424404031e-21,0,0,3.0963318360814e-23,8.20593369491174e-05,0,1.20171846737518e-22,0,7.34693019057809e-23,4.56261223409913e-22,3.43496110178301e-21,3.89122232519292e-21
