"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
54.062776824574,-1.27590197018477,0.264322913870111,-4.82705775107998,1.38564949541274e-06,1.29408891038017e-05,"MYH16"
144.691545498493,-1.26069824154112,0.238632041663012,-5.28302164602623,1.27070370597291e-07,1.54815760366613e-06,"HECW1"
92.0738610914234,-1.35848258212188,0.249851750572245,-5.43715454868936,5.4138176913065e-08,7.19031163724778e-07,"MAD1L1"
2002.99625265875,-1.52062871361358,0.240781939281571,-6.31537696785202,2.69503721662368e-10,6.06727714100202e-09,"CYP26B1"
594.655915973099,-1.10817465365595,0.307371875357208,-3.60532222529499,0.000311765852174571,0.00150584273994406,"PDK4"
5958.87370858887,-1.06052222797929,0.176675838093107,-6.00264438774249,1.94129492802298e-09,3.58132328624807e-08,"TNFRSF12A"
140.43585294302,-2.20943509654035,0.333892634954753,-6.61720225377167,3.66060514401481e-11,9.7595622686259e-10,"CCL26"
202.49429477651,-2.49208614863105,0.473976029484746,-5.25783160667465,1.45763897197747e-07,1.74797631712181e-06,"PROM1"
57.9738245849862,-1.23068819583338,0.264210483648348,-4.65798396354086,3.19321079780371e-06,2.72071442250006e-05,"DNAH9"
52.857271123328,-3.23209098589065,0.564093005083303,-5.72971293167045,1.00600736304648e-08,1.57640956158014e-07,"TKTL1"
100.386648495474,-1.51068295875184,0.3977147856245,-3.79840783736448,0.000145628559414159,0.000776940416898715,"TENM1"
63.0962089689064,-1.54306584102235,0.366155317928682,-4.21423850881473,2.50622330828823e-05,0.000166794062543373,"MLXIPL"
648.978882745419,-1.80635435260131,0.391762572291787,-4.61083952464944,4.01046045966464e-06,3.31999801468792e-05,"PRSS3"
251.57206972659,-1.76355614187684,0.228030243829695,-7.73386947388415,1.04325999766251e-14,5.61957100643073e-13,"DPF1"
1949.94481185921,-1.10803407336692,0.241197815139483,-4.593881054545,4.35077432606208e-06,3.57114799496338e-05,"SYT7"
293.129926102561,-1.16021796719601,0.279041829228597,-4.15786396757575,3.21237209318591e-05,0.000208263193882486,"GABRA3"
611.334849959789,-1.20411795861086,0.244435523777466,-4.92611687533229,8.38798372697382e-07,8.22105351930475e-06,"SEMA3B"
20.3937815040368,-1.05257684973892,0.323464609679268,-3.25407113557989,0.00113763788668168,0.00457633948005267,"NPC1L1"
5029.51230911796,-1.74545446501146,0.261642971117806,-6.67113073037825,2.53839972110125e-11,6.9982515259429e-10,"SLC38A5"
2344.02279874621,-1.29719937930237,0.291005853786432,-4.45764015542579,8.28668558921996e-06,6.29962895847796e-05,"CNTN1"
598.438786612019,-1.03947373070949,0.195081982028741,-5.32839434938872,9.90848065837442e-08,1.23645488102378e-06,"SLC11A1"
4961.64356370456,-1.16444618118498,0.130452105809616,-8.92623521834435,4.40752769499109e-19,4.86731018016496e-17,"SNAI2"
114.314286236381,-2.05710470436141,0.2543933457308,-8.08631490911025,6.14970576830925e-16,4.21079594446667e-14,"ABCC2"
65401.2844190426,-1.02246914365806,0.126671773758916,-8.0717993702689,6.92696342653664e-16,4.71045394588413e-14,"CD44"
1084.41343635522,-1.0943102882901,0.185732202480608,-5.89187159617273,3.81845845849912e-09,6.5829900314681e-08,"AGPAT4"
11620.4236316991,-1.03600691948533,0.207961214177604,-4.98173144248213,6.30178534001165e-07,6.36844965089885e-06,"TIMP2"
578.653107285322,-1.65334890836698,0.267488771052723,-6.1810030449506,6.36955878802589e-10,1.30975704435314e-08,"USP2"
518.574949169599,-2.01001476334925,0.293775590380217,-6.84200740009679,7.80910536116861e-12,2.4036644568597e-10,"TLL1"
71472.75552926,-1.80105400705918,0.229607370645548,-7.84406006651905,4.36208287275203e-15,2.51561570904436e-13,"TNC"
1.14399899379124,-2.64162735938086,0.692468836571816,-3.8147960166102,0.00013629547021275,0.000733763432453078,"GUCA2B"
