"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000001561.7",278.688729409961,1.46706178593624,0.243953660991753,6.01369038682245,1.81346719470164e-09,2.39757597313015e-08
"ENSG00000001626.16",59.9606719747439,1.16765858631047,0.446754598443776,2.61364648596319,0.00895816728174619,0.0207651077079478
"ENSG00000002079.14",54.062776824574,-1.27590314040405,0.264269063168244,-4.82804579963928,1.37879387641688e-06,9.26407486262906e-06
"ENSG00000002746.15",144.691545498493,-1.26069729267288,0.238571352853424,-5.28436158656249,1.26143880657847e-07,1.09936736822853e-06
"ENSG00000002822.15",92.0738610914234,-1.35848194418604,0.249773372387263,-5.43885815850608,5.36231233969948e-08,5.09732934504354e-07
"ENSG00000003137.8",2002.99625265875,-1.52062885310704,0.240674199028735,-6.31820469017326,2.6461937364443e-10,4.2238321487318e-09
"ENSG00000003147.19",238.337544937648,1.24565337411284,0.238505241732405,5.22275051510366,1.7628482774972e-07,1.47817493203595e-06
"ENSG00000003987.14",45.1222239893477,1.32550740623167,0.14207220443399,9.32981515640192,1.06055702872686e-20,1.05910211294737e-18
"ENSG00000003989.18",1223.81343140891,2.06695691301228,0.284530510314415,7.26444735479593,3.74566464862452e-13,1.08608569717245e-11
"ENSG00000004777.18",292.235681260908,1.06085309881564,0.182334538318116,5.81816867282044,5.949584982325e-09,7.02421766031046e-08
"ENSG00000004799.8",594.655915973099,-1.10817440432141,0.307280807662122,-3.60638991010439,0.00031048649456986,0.00111526781103642
"ENSG00000004809.14",14.0065926452283,1.30009031741717,0.316246256770778,4.11100618452381,3.93938647669063e-05,0.000182946756957892
"ENSG00000004838.14",29.2576873168057,1.29171276592569,0.283423927450178,4.55752899039464,5.17589480772785e-06,3.01485791053628e-05
"ENSG00000005189.20",223.143382885496,1.2699682016339,0.12928279593973,9.82318020276996,8.94754031267136e-23,1.12503118240507e-20
