"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050851","antigen receptor-mediated signaling pathway","43/1077","206/18842",0.20873786407767,3.65184664340897,9.42286317502084,9.00759872615797e-14,5.29646805098088e-10,5.29646805098088e-10,"LAX1/BTN1A1/BCL2/CD3D/MS4A1/INPP5D/THEMIS/CD247/CD79A/ZAP70/UBASH3A/TRBC1/TRAT1/ITK/IGHM/CD8A/BLK/CD160/CD22/CLEC2D/GCSAM/VTCN1/CD8B/CD79B/PDCD1/BTNL9/IGKC/TESPA1/ICOSLG/CD19/BTNL3/IGHA2/ZNF683/TRBC2/IGHA1/FCRL3/SKAP1/CD3G/BANK1/FYB2/CD3E/TRGC2/SH2D1A",43
"GO:0002449","lymphocyte mediated immunity","56/1077","339/18842",0.165191740412979,2.890011859667,8.64610538156163,5.9563716806001e-13,1.75117327409643e-09,1.75117327409643e-09,"IL12A/NCR3/IGHV2-70/IGHV3-21/CR1L/IGHV3-7/NCR1/SLAMF6/IGHV2-5/IGHV3-16/INPP5D/KLRB1/CRTAM/SLAMF1/CD8A/IGHV5-51/C7/IGHV3-74/CD160/CCR6/IL21R/AIRE/CD27/IGHV4-34/IGHV1-69D/NKG7/PDCD1/FCER2/CR2/IGHV3-43/IGHV3-20/FOXJ1/TRAF2/IGKC/BTLA/KLRK1/IGHV3-64D/IGHV3-73/IGLL1/KLRC4-KLRK1/IGHV1-58/CD19/TBX21/IGHA2/CD2/C5/IGHA1/IL2RG/IGHV1-18/IGHV2-70D/CD40LG/C8G/IL21/IGHV3-64/SUSD4/IGLL5",56
"GO:0140013","meiotic nuclear division","36/1077","166/18842",0.216867469879518,3.79407322884854,8.90281022874872,2.88082892035477e-12,4.64969646018336e-09,4.64969646018336e-09,"TDRD9/BTBD18/C14orf39/SPDYA/SYCP1/SYCE2/DMC1/MAJIN/HSF5/CNTD1/SHOC1/BRIP1/M1AP/RNF212/NPM2/MEI1/TEX15/BRME1/DNMT3L/ZCWPW1/SYCP3/KASH5/FBXO43/MOV10L1/ZNF541/ANKLE1/STAG3/SGO1/SYCP2/SHCBP1L/KCTD19/NANOS2/DDX4/PSMA8/MEIOB/MEIOC",36
"GO:1903046","meiotic cell cycle process","39/1077","192/18842",0.203125,3.55365018570102,8.75688853223869,3.16305881645127e-12,4.64969646018336e-09,4.64969646018336e-09,"TDRD9/BTBD18/C14orf39/SPDYA/SYCP1/NPPC/SYCE2/DMC1/MAJIN/HSF5/CNTD1/SHOC1/BRIP1/M1AP/RNF212/NPM2/MEI1/TEX15/BRME1/CDC25C/DNMT3L/ZCWPW1/SYCP3/KASH5/FBXO43/MOV10L1/ZNF541/ANKLE1/STAG3/SGO1/SYCP2/SHCBP1L/KCTD19/NANOS2/DDX4/PSMA8/MEIOB/MEIOC/KATNAL2",39
"GO:0019724","B cell mediated immunity","37/1077","177/18842",0.209039548022599,3.65712457181226,8.74503943300593,4.62999124492487e-12,5.44486970403165e-09,5.44486970403165e-09,"IGHV2-70/IGHV3-21/CR1L/IGHV3-7/IGHV2-5/IGHV3-16/IGHV5-51/C7/IGHV3-74/CCR6/IL21R/CD27/IGHV4-34/IGHV1-69D/FCER2/CR2/IGHV3-43/IGHV3-20/FOXJ1/IGKC/IGHV3-64D/IGHV3-73/IGLL1/IGHV1-58/CD19/IGHA2/C5/IGHA1/IL2RG/IGHV1-18/IGHV2-70D/CD40LG/C8G/IL21/IGHV3-64/SUSD4/IGLL5",37
"GO:0016064","immunoglobulin mediated immune response","36/1077","172/18842",0.209302325581395,3.66172183714452,8.63439579657937,8.65897679653527e-12,8.48579726060456e-09,8.48579726060456e-09,"IGHV2-70/IGHV3-21/CR1L/IGHV3-7/IGHV2-5/IGHV3-16/IGHV5-51/C7/IGHV3-74/CCR6/IL21R/CD27/IGHV4-34/IGHV1-69D/CR2/IGHV3-43/IGHV3-20/FOXJ1/IGKC/IGHV3-64D/IGHV3-73/IGLL1/IGHV1-58/CD19/IGHA2/C5/IGHA1/IL2RG/IGHV1-18/IGHV2-70D/CD40LG/C8G/IL21/IGHV3-64/SUSD4/IGLL5",36
"GO:0002443","leukocyte mediated immunity","62/1077","429/18842",0.144522144522145,2.52839948661676,7.88461466000182,1.37893735142282e-11,1.15830737519517e-08,1.15830737519517e-08,"IL12A/NCR3/IGHV2-70/IGHV3-21/CR1L/IGHV3-7/NCR1/SLAMF6/IGHV2-5/IGHV3-16/INPP5D/DAO/KLRB1/CRTAM/SLAMF1/CD8A/IGHV5-51/C7/NOS2/IGHV3-74/CD160/CCR6/IL21R/PTGDS/JAK3/AIRE/CD27/IGHV4-34/IGHV1-69D/NKG7/PDCD1/FCER2/CR2/IGHV3-43/IGHV3-20/FOXJ1/TRAF2/IGKC/BTLA/KLRK1/IGHV3-64D/IGHV3-73/IGLL1/KLRC4-KLRK1/SCN11A/IGHV1-58/CD19/TBX21/IGHA2/CD2/C5/IGHA1/IL2RG/IGHV1-18/IGHV2-70D/CD40LG/C8G/IL21/IGHV3-64/SUSD4/IGLL5/KIT",62
"GO:0007127","meiosis I","28/1077","112/18842",0.25,4.37372330547818,8.8171210733494,2.12690847020244e-11,1.56327772559879e-08,1.56327772559879e-08,"TDRD9/BTBD18/C14orf39/SYCP1/SYCE2/DMC1/MAJIN/CNTD1/SHOC1/BRIP1/M1AP/RNF212/MEI1/TEX15/BRME1/DNMT3L/ZCWPW1/SYCP3/KASH5/MOV10L1/ANKLE1/STAG3/SGO1/SYCP2/DDX4/PSMA8/MEIOB/MEIOC",28
"GO:0042113","B cell activation","42/1077","238/18842",0.176470588235294,3.0873340979846,7.97911090003413,5.63862170441516e-11,3.68389951355124e-08,3.68389951355124e-08,"IL12A/IKZF3/PAX5/LAX1/BCL2/MZB1/MS4A1/INPP5D/CHRNA4/TNFRSF13C/CD79A/ZAP70/AICDA/PRLR/IGHM/IL27RA/SPIB/AQP8/CCR6/JAK3/CDKN2A/CD27/POU2AF1/CD22/CD79B/CR2/CXCR5/FLT3LG/FOXJ1/BTLA/ICOSLG/CD19/PIK3R3/VCAM1/CD40LG/FCRL3/FCRL5/FCRL1/IL21/BANK1/KIT/TNFRSF13B",42
"GO:0061982","meiosis I cell cycle process","29/1077","125/18842",0.232,4.05881522748375,8.44826154329061,6.70016626548194e-11,3.93969776410338e-08,3.93969776410338e-08,"TDRD9/BTBD18/C14orf39/SYCP1/SYCE2/DMC1/MAJIN/CNTD1/SHOC1/BRIP1/M1AP/RNF212/MEI1/TEX15/BRME1/CDC25C/DNMT3L/ZCWPW1/SYCP3/KASH5/MOV10L1/ANKLE1/STAG3/SGO1/SYCP2/DDX4/PSMA8/MEIOB/MEIOC",29
