"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.81564569226157,1.82836885869297,2.09522253045525e-05,0.000523805632613812,0.000245759806909989,2302,"tags=40%, list=11%, signal=36%","1031/6118/3978/4171/4001/4174/83463/79733/55723/3070/580/23468/7112/8914/6941/11113/4175/7398/3148/1029/11168/5426/29028/4172/3925/5111/5424/79019/10051/29980/2146/8493/675/54556/7374/84296/6839/4678/672/1786/10635/5889/29893/10733/253714/9837/6241/7913/7157/5931/5983/9918/4292/9738/4173/197335/4436/983/10714/23047/10274/7465/64858/9126/6470/1027/1633/9232/8243/7153/1854/4176/993/10615/9924/5981/29089/9700/7884/11004",0.575610261071129
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,-0.738966334857627,-1.75712836944022,2.33478548964038e-06,0.000116739274482019,5.47718843960301e-05,2543,"tags=48%, list=12%, signal=42%","1301/6382/2014/22795/6444/2303/5159/4323/10979/5999/11167/30008/290/8985/131578/1634/4487/1284/8038/1282/5329/5217/813/1893/5817/4638/3688/5270/1292/5376/6422/50863/7474/5118/10486/10085/26585/6678/64175/800/1009/7078/1278/5768/51330/1293/4837/1281/633/10631/4060/1289/3909/5479/3956/1277/10409/1000/7058/2335/1290/7040/6696/50509/4313/7057/4148/284217/7980/3918/2191/7857/960/3678/4907/56937/11010/1303/871/6591/8076/7045/3371/22943/7424/2697/10272/4314/6695/5654/5054/3624/374/5744/4312",0.627256739718528
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",196,-0.651630308980521,-1.53475117174666,0.00138066925137228,0.023011154189538,0.0107964032043281,2468,"tags=21%, list=11%, signal=19%","4320/23643/9935/23080/5473/2118/1839/8829/6590/1848/5329/10418/2556/894/669/5950/26499/5328/2591/7869/12/3553/50486/11199/4674/6696/1149/55107/27344/2150/6447/1437/7476/5284/4803/3624/25907/80201/2069/4319/383",0.45505986738723
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",199,0.687875822832738,1.52761346313184,0.0104608320622995,0.12015175059367,0.0563729543694464,2035,"tags=28%, list=9%, signal=26%","1031/6118/4171/4001/4174/1869/8317/580/4211/7112/4175/1870/56992/10036/10721/5426/22809/2176/4172/3925/10592/10051/2146/6491/675/9994/6839/4678/26271/3151/3832/10733/10293/8438/5933/55872/1756/899/983/23047/7468/10274/8819/57082/9055/1063/1027/51659/10772/9232/8243/7153/9252/22974/94239/9585",0.380730400722792
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",114,0.702812890027627,1.51929576837995,0.0428519400990282,0.22202486678508,0.104169915313886,735,"tags=10%, list=3%, signal=9%","4744/29118/1047/6954/51087/126669/11144/3948/11073/2146/5984",0.321775918075361
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",34,-0.7818004712513,-1.46152457050737,0.044404973357016,0.22202486678508,0.104169915313886,3487,"tags=50%, list=16%, signal=42%","6781/2260/5104/1462/4973/11167/182/4487/8829/894/351/5154/1281/10631/4060/1290/6696",0.287857117255149
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,-0.656855360774112,-1.44811476617306,0.015178120060923,0.12015175059367,0.0563729543694464,3044,"tags=25%, list=14%, signal=21%","23478/6734/10130/9136/7466/5832/9775/1978/1965/1639/10525/9114/55738/3309/3484/7534/8614/1051/54512/55033/11015/3434/1662/6464/10897/7280/64859/8140",0.380730400722792
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",199,-0.590731162118253,-1.39863449853331,0.0130642526321754,0.12015175059367,0.0563729543694464,2776,"tags=25%, list=13%, signal=22%","143903/3728/4597/3675/4318/89/7059/9019/60/4627/51208/4478/10487/3914/7791/247/5216/3688/1001/103910/51474/1272/23114/1308/80381/10290/1009/1956/1013/3909/149461/140885/4313/1002/6464/3918/6624/51148/4628/9073/5522/347902/7045/3667/794/1006/87/1041/1823",0.380730400722792
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",199,-0.58149029364121,-1.3767555148649,0.0168212450831138,0.12015175059367,0.0563729543694464,2845,"tags=22%, list=13%, signal=19%","7071/8870/4973/23135/8767/388/10938/22822/1827/4609/23529/9242/4084/182/3914/1839/5329/24147/329/8877/10135/6373/5328/5791/1051/5606/3553/50486/24145/3552/7130/960/56937/7280/2150/595/3371/8061/1437/3606/5054/3624/374",0.352487857583619
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",197,-0.556336653358111,-1.31433330070234,0.0347245595363305,0.217028497102066,0.101825712097855,3910,"tags=34%, list=18%, signal=28%","3908/7139/7140/4618/1346/6442/6300/537/4616/3756/274/7169/859/3479/9260/1410/487/4629/6876/6016/624/3693/1146/7433/786/89/6444/165/4627/4656/1284/845/8038/2314/1839/4641/7164/4684/3801/2281/4638/3688/8877/4621/1292/4608/29895/351/8614/10468/1134/10290/6678/1293/1281/4626/1277/1012/4842/5091/7040/25803/6525/1728/5621/4635",0.321775918075361
