"Cell_Type","Median_Negative","Median_Positive","P_value","FDR"
"Plasma cells",0.140713806501757,0.43933553755046,5.63588108209592e-05,0.00129625264888206
"Macrophages M0",0.103442105677453,0.0300375259167078,0.000141489567279329,0.00162713002371229
"NK cells resting",0.024386599403451,0.00508904612643274,0.00113563793933391,0.00870655753489332
"T cells CD4 memory resting",0.0676024031129603,0.0330205204197916,0.00230981496280069,0.013281436036104
"T cells CD8",0.0479374722342526,0.0695431502698301,0.00435402238519392,0.020028502971892
"P-value",0.01,0,0.0190897251744453,0.0731772798353736
"Mast cells activated",0,0,0.0278106820046145,0.0913779551580189
"Monocytes",0.0141047218092731,0,0.0342144951405605,0.0981143761226952
"Macrophages M2",0.0222780089157736,0.00826537382075944,0.0383925819610547,0.0981143761226952
"Dendritic cells resting",0.0297121265526086,0.0223829640057675,0.0891752070038987,0.205102976108967
"T cells follicular helper",0.0499292688006474,0.053306359942031,0.103773125956292,0.216980172454065
"NK cells activated",0,0.00157050966384989,0.143223291646995,0.274511308990073
"B cells naive",0,0,0.202408230586687,0.358106869499522
"T cells regulatory (Tregs)",0.00546121924145918,0.0119058711089457,0.271558335847786,0.4356057346969
"T cells CD4 naive",0,0,0.291622215227804,0.4356057346969
"Mast cells resting",0.0736535655348957,0.066861423756838,0.303030076310887,0.4356057346969
"Neutrophils",0.0108398356958598,0.00859081523984071,0.398467989969091,0.539103751134653
"Macrophages M1",0.0450274951291929,0.034777106732978,0.437217920724179,0.558667343147562
"B cells memory",0.0123265430789929,0.0109323099998504,0.466832822626551,0.56511341686372
"T cells gamma delta",0,0,0.56828896906438,0.653532314424037
"T cells CD4 memory activated",0.00241860900583193,0.00065668727739506,0.634036159295553,0.694420555418939
"Eosinophils",0,0,0.714660294637993,0.747144853485174
"Dendritic cells activated",0,0,0.957825612365368,0.957825612365368
