"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","87/656","217/9418",0.400921658986175,5.75591491513994,19.3933577240443,3.84882255119184e-45,1.35478553801953e-42,1.35478553801953e-42,"3888/126410/353144/151516/353142/3854/353140/353131/374454/6273/6699/26285/3850/6706/286887/6707/204219/163778/7051/1823/3857/353134/110806278/6701/3918/353145/122526777/3713/6698/6700/2312/3858/1041/59344/1288/7062/3849/4014/6704/3655/1828/3885/51208/9119/8688/84648/9073/6278/26239/6703/353139/3034/25984/7053/3872/388697/51350/254910/338324/338785/9333/3851/3848/121214/6785/6281/196374/3861/242/126637/5522/149461/285848/388698/3909/26154/6283/3868/3853/353137/1308/49861/353141/55304/6705/147409/23581",87
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","70/656","404/9418",0.173267326732673,2.48754829751268,8.36198841268169,4.68617408277527e-13,8.24766638568447e-11,8.24766638568447e-11,"3888/56111/1000/2562/144165/56131/87/3854/374454/2697/2556/3850/286887/26025/79905/1823/3857/1006/7481/56125/3858/56104/1013/3849/1002/7474/1828/3885/9119/7473/8688/7476/84152/2569/2566/1956/56106/25984/56114/3872/10413/56113/51350/56130/4430/1012/64405/56107/8641/338785/6330/3851/3848/196374/26167/56138/3861/57526/56105/22800/6327/3868/3853/1009/1014/56112/56097/147409/56100/56101",70
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","25/656","103/9418",0.242718446601942,3.48463769831873,6.93740155784262,2.38150881945953e-08,2.79430368149918e-06,2.79430368149918e-06,"23428/1278/50509/340267/1293/6564/1281/1291/1299/1288/1290/1803/1280/7512/1277/1303/1301/1292/5646/4311/1308/6550/1289/6520/1358",25
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","39/656","233/9418",0.167381974248927,2.40305401444572,5.93361482918848,2.23551321405627e-07,1.96725162836951e-05,1.96725162836951e-05,"7140/3678/2335/89/29895/127294/1278/50509/1293/56776/4608/1281/1291/84675/1299/4628/633/1288/1290/284217/2318/3655/1277/4621/6444/4811/137868/7057/7058/7137/84676/1301/4626/1292/4629/6442/83660/4635/1289",39
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","21/656","89/9418",0.235955056179775,3.38753768155659,6.19204739521965,5.26113028839984e-07,3.70383572303349e-05,3.70383572303349e-05,"3678/2335/960/3371/1278/1293/1291/1299/3918/1288/1280/284217/3655/1277/7057/7058/341640/1292/6696/63923/3909",21
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","51/656","371/9418",0.137466307277628,1.97356353954375,5.23486566055494,1.84029725134092e-06,0.000107964105412,0.000107964105412,"2147/1909/2892/1131/2562/2890/1813/4923/9248/1146/55584/6750/152/51289/2556/116444/2911/432355/387129/3352/57152/146/3358/2831/100996758/2150/51083/2358/797/2569/2566/5540/8862/1128/2922/1134/1908/1133/6870/2847/7432/623/6343/5646/5733/2151/3363/2798/4142/185/59350",51
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","28/656","154/9418",0.181818181818182,2.61031042128603,5.51286390443465,2.20686904137946e-06,0.000110973986080796,0.000110973986080796,"3678/2335/595/5155/87/3371/1278/1293/1291/1299/894/3918/1288/1280/284217/3655/1277/2243/1956/7057/7058/341640/7424/1292/6696/63923/83660/3909",28
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","31/656","203/9418",0.152709359605911,2.19240358043975,4.6992678643681,2.64237605666496e-05,0.00116264546493258,0.00116264546493258,"3678/2335/595/5155/87/857/29895/3371/1278/1293/1291/1299/894/858/3918/1288/1280/284217/3655/1277/1956/7057/7058/7424/57144/1292/6696/63923/859/83660/3909",31
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","35/656","254/9418",0.137795275590551,1.97828644132898,4.32460984785987,7.42792090456981e-05,0.00290514239823175,0.00290514239823175,"1909/89869/4803/1131/6262/5155/4923/116444/2911/777/146/84812/3358/10105/100507027/4842/219931/1956/1128/5332/7424/114/7039/1133/2248/6870/2250/623/5733/487/3363/845/185/815/9965",35
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","14/656","66/9418",0.212121212121212,3.04536215816704,4.56243316827046,0.000143397217797056,0.00504758206645638,0.00504758206645638,"3292/1645/1646/6820/1543/54577/8644/10170/54575/54576/54600/3294/1109/340811",14
