"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","16/454","38/9418",0.421052631578947,8.73452353350336,10.7512072063598,5.47040367446036e-12,1.92558209341005e-09,1.92558209341005e-09,"915/115650/973/7535/57379/925/3718/326/926/3543/930/3561/959/23495/916/927",16
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","18/454","100/9418",0.18,3.73400881057269,6.18545774508276,1.10619184274857e-06,0.000194689764323748,0.000194689764323748,"1379/3674/915/931/925/933/926/2208/1380/7850/2323/930/914/2811/917/3815/916/927",18
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","34/454","298/9418",0.114093959731544,2.36682139372616,5.3957990634124,2.34129747115614e-06,0.000274712236615654,0.000274712236615654,"356/3592/6364/115650/5618/9966/9466/1235/50615/939/284340/2833/6363/643/651/6370/7850/3458/55540/3605/4050/3977/608/112744/146433/3604/9518/55801/3561/959/8792/59067/4049/23495",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","37/454","371/9418",0.0997304582210243,2.0688578315542,4.72702491133574,1.93719930868731e-05,0.00170473539164484,0.00170473539164484,"6865/22953/155/1139/3640/1137/130574/5618/3061/2917/8001/6752/7434/5020/135/286530/10874/55879/2568/2905/51738/170589/27334/727/1269/1812/10316/2561/6755/2796/1907/8484/8973/3357/344838/2903/5368",37
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","9/454","41/9418",0.219512195121951,4.5536692811862,5.13180642578439,0.00011443633485115,0.008056317973521,0.008056317973521,"1139/1137/57030/55879/2568/2905/2561/8973/2903",9
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","15/454","105/9418",0.142857142857143,2.96349905601007,4.5531696527095,0.000142839798343192,0.00837993483613395,0.00837993483613395,"596/330/115650/7535/7185/128178/55367/6363/7186/9020/4050/7412/959/8792/4049",15
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","15/454","109/9418",0.137614678899083,2.85474679707392,4.38308256178578,0.000218353034529147,0.00937664967066826,0.00937664967066826,"915/919/7535/9466/50615/3718/3458/3605/3662/112744/30009/3561/59067/917/916",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","22/454","199/9418",0.110552763819095,2.29336107852036,4.14990070927054,0.00022968222672802,0.00937664967066826,0.00937664967066826,"6865/22953/1139/1137/285242/2917/8001/6505/57030/135/55879/2568/2905/112/1812/2561/8973/6570/3357/60482/2903/5368",22
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","16/454","122/9418",0.131147540983607,2.72058929732072,4.30469476963527,0.000239743883625041,0.00937664967066826,0.00937664967066826,"9402/915/919/7535/3702/925/5063/926/5133/3458/9020/8503/959/917/916/927",16
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","9/454","50/9418",0.18,3.73400881057269,4.36209137396064,0.000556574224339247,0.0178103751788559,0.0178103751788559,"115650/102723996/57379/6370/9020/23308/608/959/23495",9
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","9/454","50/9418",0.18,3.73400881057269,4.36209137396064,0.000556574224339247,0.0178103751788559,0.0178103751788559,"3592/1379/3683/3820/3458/22914/100528032/7412/959",9
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","8/454","41/9418",0.195121951219512,4.04770602772107,4.40115163776303,0.000641965234357756,0.0183905662116107,0.0183905662116107,"1610/189/55349/875/635/2628/102724560/26227",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","18/454","160/9418",0.1125,2.33375550660793,3.82922527026686,0.000679197047587896,0.0183905662116107,0.0183905662116107,"3683/923/102723996/6900/925/933/79679/926/1365/5133/9071/9378/23308/10686/914/7412/959/927",18
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","22/454","217/9418",0.101382488479263,2.10312836232973,3.6997441323258,0.00076541024709965,0.0192446004985055,0.0192446004985055,"155/596/1139/10941/1545/23746/1137/2053/2099/79852/84699/778/776/7471/8822/112/2247/8503/367/1869/2938/54490",22
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","12/454","93/9418",0.129032258064516,2.67670882478329,3.65685711868897,0.00162316815245127,0.035709699353928,0.035709699353928,"3592/11317/915/919/7535/3718/3458/30009/3561/917/916/4851",12
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","12/454","93/9418",0.129032258064516,2.67670882478329,3.65685711868897,0.00162316815245127,0.035709699353928,0.035709699353928,"3674/596/330/7185/4843/1286/1870/1285/7186/9134/8503/1869",12
