"SYMBOL","padj"
"LOC375196",5.10945249291795e-107
"STAG3",1.03585264144076e-100
"TAF7L",9.87462312635785e-100
"SMC1B",6.72877014102025e-91
"ZFR2",4.46479711746136e-86
"RAD9B",1.15815870130203e-83
"TDRD10",2.63268298345067e-69
"GBX1",3.20154313271503e-68
"GRIN2C",2.32817165155531e-64
"ENSG00000238098",1.16527030186553e-63
"CNTD1",4.80892155414834e-63
"PRDM15",1.88621552373996e-62
"C8G",1.88621552373996e-62
"SYCP2",4.4222188121816e-62
"RPA2",7.05089231930485e-57
"MAJIN",4.65511585415628e-55
"UPB1",1.41424115916285e-54
"NEFH",1.72002070854297e-53
"SHCBP1L",2.25396502742982e-52
"SYCE2",9.05924754823969e-52
