"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000255666.7",52.1241326958606,-5.78496852403745,0.464213070475067,-12.4618820364477,1.20493027923841e-35,1.06154357600903e-32
"ENSG00000134765.10",1544.24799493428,-5.20104324789651,0.418673341371268,-12.42267594794,1.96864676281006e-35,1.69667393286097e-32
"ENSG00000110203.9",181.992032568084,-4.6689044677155,0.380065796722913,-12.2844636585895,1.09770602516017e-34,9.25926709946279e-32
"ENSG00000231683.6",398.402321865951,-7.58932183808715,0.622129687169547,-12.1989385727848,3.14901981666483e-34,2.40082481983995e-31
"ENSG00000172551.11",412.951499713356,-5.44403127661465,0.447418229890744,-12.167656373644,4.62162196564063e-34,3.39304079310783e-31
"ENSG00000139988.10",679.651368354912,-4.40924166822164,0.362515588033912,-12.1629022689341,4.89868308951502e-34,3.53105983788769e-31
"ENSG00000168003.17",24407.7568929223,-1.45951366834298,0.121119387114304,-12.0502068505811,1.93463822882749e-33,1.25735627183387e-30
"ENSG00000188624.3",168.192288662891,-5.44265883857632,0.45997424375673,-11.832529565405,2.65032435346519e-32,1.52278418830619e-29
"ENSG00000183780.13",238.088376766671,-3.25332010208452,0.280275715826817,-11.6075703971969,3.7718090651103e-31,1.84609099242343e-28
"ENSG00000184148.4",622.307957506074,-4.49324624591306,0.397726393458581,-11.2973298222437,1.35268576616833e-29,5.89310189008171e-27
"ENSG00000122642.11",10108.7551319502,-1.17695418084576,0.104849815946661,-11.225143031672,3.06889475975165e-29,1.29599856300272e-26
"ENSG00000198848.13",4377.84145391375,-5.41762656636799,0.4852596784479,-11.1643864243908,6.09103067295761e-29,2.54188327399373e-26
"ENSG00000182898.4",50.4218633750101,-4.8119122119414,0.431728072411399,-11.1457014714486,7.51497654361306e-29,3.07145613475814e-26
"ENSG00000197535.15",5826.39602545503,-1.47577477068517,0.132585589562489,-11.1307328010154,8.89016193580042e-29,3.59643336678375e-26
"ENSG00000167754.13",6251.36062164462,-4.34914807205771,0.39184891576768,-11.0990432716579,1.26793861083674e-28,4.97697289372502e-26
"ENSG00000103257.9",43735.2077178517,-1.98004930792777,0.178992591433319,-11.0621858260844,1.91375980378881e-28,7.40007304787421e-26
"ENSG00000123989.14",10601.5137260564,-1.55143352862751,0.140631442989502,-11.0319107565676,2.68107364416636e-28,1.0122968059331e-25
"ENSG00000137745.12",12325.7428669111,-4.40385438886016,0.408663838989107,-10.7762272281144,4.45797086390926e-27,1.41389003919746e-24
"ENSG00000231131.8",136.837682699448,-3.61152052164875,0.335427909817548,-10.7669052453423,4.93304856156591e-27,1.5489042029602e-24
"ENSG00000186844.6",72.3359118232892,-7.25104004291944,0.674994103002506,-10.7423753936003,6.43666099141121e-27,1.96293403849613e-24
"ENSG00000231638.1",58.2050681967468,-3.12618297171099,0.291530824410946,-10.7233359560781,7.90979495695151e-27,2.3937696264759e-24
"ENSG00000185742.7",87.815714975275,-5.30207600530022,0.497110105237414,-10.6657980786128,1.47130440231944e-26,4.35297485298165e-24
"ENSG00000256268.2",48.5515547952138,-3.27468072516219,0.310186311157786,-10.5571413288332,4.70780852488751e-26,1.31437372513497e-23
"ENSG00000260025.1",45.0404883471918,-1.63967224976857,0.155501922118912,-10.5443857376549,5.39240732337448e-26,1.49497893940686e-23
"ENSG00000198598.6",444.502581667578,-1.81589360346383,0.172600169422158,-10.5208100869378,6.92753788933295e-26,1.89408441119038e-23
"ENSG00000188508.11",18214.7322068799,-4.24835692599512,0.40468483115857,-10.4979396283091,8.82860619612071e-26,2.36493305841355e-23
"ENSG00000240386.3",102.168655249609,-4.84705852753962,0.462238780671907,-10.4860490513019,1.00128233588951e-25,2.66415021519058e-23
"ENSG00000204866.8",659.217296411448,-3.56145685723244,0.340064925337175,-10.4728732423705,1.15095527425138e-25,3.04197478984638e-23
"ENSG00000072110.15",34043.2248362822,-1.54200959562634,0.147593296908724,-10.4476939530659,1.50131260834211e-25,3.91575910248178e-23
"ENSG00000249992.2",676.170829166468,-2.0596649246397,0.197876283046339,-10.4088518994334,2.25929874758786e-25,5.66898093975448e-23
"ENSG00000168703.5",785.450556597849,-4.77096852917259,0.460777280014255,-10.354174860846,4.00626015639503e-25,9.68464535977323e-23
"ENSG00000185640.6",326.888987813256,-4.38009576984593,0.425289175233285,-10.2991000592557,7.1123544770072e-25,1.68843888168234e-22
"ENSG00000267750.6",45.2696525322049,-2.63390417931085,0.25621212414743,-10.2801699493161,8.65748072600106e-25,2.04301085346614e-22
"ENSG00000197565.16",2862.10418321393,-2.76263496643335,0.26928333056063,-10.2592127061179,1.07580240263205e-24,2.52367965990222e-22
"ENSG00000108947.5",281.2669223313,-2.36153054978004,0.230233451689927,-10.2571130843336,1.09944557214608e-24,2.56397174751362e-22
"ENSG00000257500.1",18.7632649289528,-4.4688824122533,0.438072565135397,-10.2012378037691,1.95761459890746e-24,4.43483604421065e-22
