"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-11742.3228661575,17214.3948762658,-4.92447090941685,1.36892105254919e-06,1.72049353456879e-05,4.64325295619787,"KRT14"
-6627.54421902247,13796.3664199367,-4.3846431403379,1.58638797535877e-05,0.000151327326528938,2.30740329305595,"KRT6A"
-6115.49164305283,7186.59284208861,-3.50445873076899,0.000523966555970381,0.00309037529482139,-0.979320436533392,"PI3"
-4119.60583696194,7548.86428639241,-3.17794563022852,0.00163067697936805,0.00826698261899845,-2.0266390596146,"KRT16"
-3817.37316061277,7823.46866550633,-3.66499150880118,0.000290239752793747,0.00187347891932101,-0.429707393301413,"KRT17"
-3507.01728327315,5288.93493417721,-3.87609074528765,0.000129231725860497,0.000937449432608625,0.327292454758148,"SPRR1B"
-3041.38852826991,5732.18467816456,-2.57898626085906,0.0103632608360959,0.0362754328102905,-3.69634868752706,"SPRR1A"
-2397.02470592427,7144.26426803797,-3.25780022956064,0.00124554120090039,0.00650911210696452,-1.77931494979273,"SFN"
-2382.31757386836,4277.64965158228,-2.97241764959317,0.00318279653452773,0.014432942677175,-2.63665448952927,"KRT6B"
-2349.02432016106,3363.51574462025,-2.96733839289643,0.00323437695379678,0.0145643800554202,-2.6512430889442,"S100A7"
