"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"STAG3","ENSG00000066923.17","Higher in HPV-positive",341.97,4.816,3.37e-93,1.01e-88
"AC019171.1","ENSG00000269210.2","Higher in HPV-positive",6.47,5.429,9.61e-85,1.44e-80
"ZFR2","ENSG00000105278.12","Higher in HPV-positive",82.58,6.882,2.41e-83,2.41e-79
"SMC1B","ENSG00000077935.17","Higher in HPV-positive",185.46,6.174,4.66e-83,3.48e-79
"TAF7L","ENSG00000102387.16","Higher in HPV-positive",62.95,5.732,1.58e-80,9.46e-77
"SYCP2","ENSG00000196074.13","Higher in HPV-positive",425.08,4.98,3.49e-69,1.74e-65
"RAD9B","ENSG00000151164.19","Higher in HPV-positive",48.25,2.765,1.26e-68,5.4e-65
"TDRD10","ENSG00000163239.12","Higher in HPV-positive",56.03,4.796,3.45e-67,1.29e-63
"ABCA17P","ENSG00000238098.9","Higher in HPV-positive",67.29,5.03,7.98e-57,2.65e-53
"C8G","ENSG00000176919.13","Higher in HPV-positive",62.16,4.167,6.51e-56,1.95e-52
"GRIN2C","ENSG00000161509.14","Higher in HPV-positive",60.13,3.03,5.72e-54,1.55e-50
"GBX1","ENSG00000164900.4","Higher in HPV-positive",10.87,6.679,4.39e-53,1.09e-49
"PRDM15","ENSG00000141956.14","Higher in HPV-positive",724.85,1.259,6.63e-53,1.53e-49
"UPB1","ENSG00000100024.15","Higher in HPV-positive",46.32,4.804,3.83e-52,8.18e-49
"NEFH","ENSG00000100285.10","Higher in HPV-positive",318.01,5.108,5.56e-50,1.11e-46
"CNTD1","ENSG00000176563.10","Higher in HPV-positive",34.05,2.983,1.35e-47,2.52e-44
"RPA2","ENSG00000117748.10","Higher in HPV-positive",2623.73,1.213,2.24e-46,3.94e-43
"TDRD9","ENSG00000156414.19","Higher in HPV-positive",107.02,4.623,8.02e-45,1.33e-41
"SHCBP1L","ENSG00000157060.16","Higher in HPV-positive",13.65,6.821,1.5e-44,2.36e-41
"SOX30","ENSG00000039600.11","Higher in HPV-positive",82.88,4.13,2.22e-44,3.32e-41
"MAJIN","ENSG00000168070.12","Higher in HPV-positive",12.48,4.877,4.9e-44,6.98e-41
"RORB","ENSG00000198963.11","Higher in HPV-positive",273.16,4.76,2.46e-43,3.34e-40
"FOXRED2","ENSG00000100350.15","Higher in HPV-positive",2763.42,1.922,1.71e-41,2.22e-38
"ZNF541","ENSG00000118156.12","Higher in HPV-positive",139,4.821,9.24e-41,1.15e-37
