"Gene","log2FC","pvalue","padj","baseMean"
"STAG3",4.81591442213581,3.3748105804605e-93,1.00879837871125e-88,341.972657919851
"AC019171.1",5.42886941048667,9.60652610060146e-85,1.43579139099589e-80,6.46907608710158
"ZFR2",6.88219740437133,2.41443203043086e-83,2.40574007512131e-79,82.5778804449371
"SMC1B",6.17409763833455,4.65638781626038e-83,3.47971861509138e-79,185.45548092667
"TAF7L",5.73173316387896,1.58153387395566e-80,9.45504211205653e-77,62.9523673041094
"SYCP2",4.98032613649697,3.49171865699179e-69,1.73957423491331e-65,425.076360860716
"RAD9B",2.76487377815515,1.26445735822418e-68,5.39959419314817e-65,48.25427641361
"TDRD10",4.79596950240545,3.44694355375891e-67,1.28795045886202e-63,56.031396490043
"ABCA17P",5.03047814440413,7.97529558702979e-57,2.64886150763883e-53,67.2879784403898
"C8G",4.16713290283543,6.51158419118684e-56,1.94644274642957e-52,62.157595167448
"GRIN2C",3.03015790240007,5.71705314155771e-54,1.55358320461312e-50,60.1306723323415
"GBX1",6.67898518102753,4.38531058315804e-53,1.09238086626467e-49,10.8724898886633
"PRDM15",1.25926404910203,6.63463761821643e-53,1.52555836679789e-49,724.849813448101
"UPB1",4.80398160241449,3.83338833953749e-52,8.18483173181819e-49,46.321016013335
"NEFH",5.10779634567504,5.56451306219563e-50,1.10889616303435e-46,318.011863119977
"CNTD1",2.98345016710269,1.35042401931689e-47,2.52292967408879e-44,34.0546189625723
"RPA2",1.21328585178903,2.2401098549386e-46,3.93890375198968e-43,2623.73047316617
"TDRD9",4.62293184829603,8.02484082959016e-45,1.33265856710061e-41,107.017925781954
"SHCBP1L",6.82114193896112,1.50236841816657e-44,2.36362088188605e-41,13.6533149878423
"SOX30",4.129957647492,2.22052719640849e-44,3.31879994775213e-41,82.8782550875023
"MAJIN",4.87665957511271,4.90344261449515e-44,6.97970031583281e-41,12.4776475431286
"RORB",4.75955310247513,2.4611616017593e-43,3.3440473908995e-40,273.161309781875
"FOXRED2",1.92209993664097,1.70502845141073e-41,2.21594393345955e-38,2763.41905708115
"ZNF541",4.82079485482433,9.24170281578094e-41,1.15105408570552e-37,138.995461321109
"C19orf57",2.27220815489637,5.31048930467358e-39,6.34964585181211e-36,274.054081683243
"SYCE2",2.69511097086976,1.55755557576337e-38,1.79070966425841e-35,22.0077571777779
"KLHL35",3.31641851352328,2.35295825360769e-37,2.60498622654967e-34,120.959603572823
"KEL",5.32108288264536,9.82501171897446e-37,1.04889017965566e-33,112.19182449938
"RIBC2",2.70361389951297,1.19595138733658e-35,1.23273720242293e-32,168.855677436109
"CEACAMP5",4.93209563150124,1.75286827791275e-35,1.74655795211226e-32,2.9092679287724
"BTNL9",4.41081600403917,2.08012350533435e-35,2.00577586520821e-32,324.077674603252
"MEI1",3.33071242851746,1.03026154517542e-34,9.62393065886986e-32,356.291490472699
"C1QTNF4",3.93853121900495,2.75802716503543e-34,2.49827115203754e-31,12.9526013292657
"ARHGEF33",3.11567359762198,2.42313770588217e-33,2.13036565600676e-30,25.6099648980538
"DHFR",1.56294883183619,5.37404673576087e-33,4.58974300072468e-30,938.351885660337
"MIR9-3HG",3.4971040431764,1.32075735363134e-32,1.09666885596522e-29,486.954279522779
"LIG1",1.25162435137388,1.67005803668972e-32,1.34922634683051e-29,2285.05896201863
"ADORA2A-AS1",3.45849559958297,2.37759246457953e-31,1.87028931450556e-28,16.247447874318
"AC069499.1",2.33160518235824,2.72129313049768e-31,2.08576651940606e-28,21.7816586550855
"CDKN2C",2.10899052862732,7.66394080225819e-31,5.72726296152755e-28,1272.9336619685
"SYNGR3",2.92304334226153,1.00069680579687e-30,7.29581193143417e-28,249.940453463865
"LINC01305",4.63080348579474,8.80503985494829e-30,6.26667265105034e-27,45.5360635347517
"DDX25",4.04437526895416,1.0855401093793e-29,7.54627091850372e-27,10.6593645523592
"LINC02700",-5.79137199603841,1.761879740226e-29,1.19695702715535e-26,52.1241326958606
"ZNF620",1.9132826512437,3.28105753348434e-29,2.1794971509092e-26,65.2261930898245
"CYB5RL",1.45559706458991,7.81445948595535e-29,5.07803962943864e-26,234.716850267567
"IL17REL",5.37363927144675,1.20874084150584e-28,7.68759175197711e-26,145.103453767247
"AL021391.1",3.26753857093915,1.39540753491879e-28,8.68990042370679e-26,3.9961619035294
"IL17RB",1.88591775530772,1.66361285761567e-28,1.01487174571118e-25,132.320586918361
"ZPBP2",6.0648813374262,2.57425373681267e-28,1.53899185401609e-25,9.50546900133746
"AJM1",1.86093872645747,3.13353899810773e-28,1.83662250453796e-25,183.239367246911
"ZNF180",1.15817509041847,8.6654613543716e-28,4.981307130863e-25,438.947072913944
"A3GALT2",2.90564166489528,1.43868970201928e-27,8.11420991938874e-25,2.70124996374694
