"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"STAG3","ENSG00000066923.17","Upregulated",341.972657919851,4.81591442213581,3.3748105804605e-93,1.00879837871125e-88
"AC019171.1","ENSG00000269210.2","Upregulated",6.46907608710158,5.42886941048667,9.60652610060146e-85,1.43579139099589e-80
"ZFR2","ENSG00000105278.12","Upregulated",82.5778804449371,6.88219740437133,2.41443203043086e-83,2.40574007512131e-79
"SMC1B","ENSG00000077935.17","Upregulated",185.45548092667,6.17409763833455,4.65638781626038e-83,3.47971861509138e-79
"TAF7L","ENSG00000102387.16","Upregulated",62.9523673041094,5.73173316387896,1.58153387395566e-80,9.45504211205653e-77
"SYCP2","ENSG00000196074.13","Upregulated",425.076360860716,4.98032613649697,3.49171865699179e-69,1.73957423491331e-65
"RAD9B","ENSG00000151164.19","Upregulated",48.25427641361,2.76487377815515,1.26445735822418e-68,5.39959419314817e-65
"TDRD10","ENSG00000163239.12","Upregulated",56.031396490043,4.79596950240545,3.44694355375891e-67,1.28795045886202e-63
"ABCA17P","ENSG00000238098.9","Upregulated",67.2879784403898,5.03047814440413,7.97529558702979e-57,2.64886150763883e-53
"C8G","ENSG00000176919.13","Upregulated",62.157595167448,4.16713290283543,6.51158419118684e-56,1.94644274642957e-52
"GRIN2C","ENSG00000161509.14","Upregulated",60.1306723323415,3.03015790240007,5.71705314155771e-54,1.55358320461312e-50
"GBX1","ENSG00000164900.4","Upregulated",10.8724898886633,6.67898518102753,4.38531058315804e-53,1.09238086626467e-49
"PRDM15","ENSG00000141956.14","Upregulated",724.849813448101,1.25926404910203,6.63463761821643e-53,1.52555836679789e-49
"UPB1","ENSG00000100024.15","Upregulated",46.321016013335,4.80398160241449,3.83338833953749e-52,8.18483173181819e-49
"NEFH","ENSG00000100285.10","Upregulated",318.011863119977,5.10779634567504,5.56451306219563e-50,1.10889616303435e-46
"CNTD1","ENSG00000176563.10","Upregulated",34.0546189625723,2.98345016710269,1.35042401931689e-47,2.52292967408879e-44
"RPA2","ENSG00000117748.10","Upregulated",2623.73047316617,1.21328585178903,2.2401098549386e-46,3.93890375198968e-43
