Pathway,Direction,NES,Pvalue,FDR
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Enriched in HPV-negative,-1.757128369,2.33E-06,0.000116739
HALLMARK_E2F_TARGETS,Enriched in HPV-positive,1.828368859,2.10E-05,0.000523806
HALLMARK_KRAS_SIGNALING_UP,Enriched in HPV-negative,-1.534751172,0.001380669,0.023011154
HALLMARK_G2M_CHECKPOINT,Enriched in HPV-positive,1.527613463,0.010460832,0.120151751
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Enriched in HPV-negative,-1.448114766,0.01517812,0.120151751
HALLMARK_APICAL_JUNCTION,Enriched in HPV-negative,-1.398634499,0.013064253,0.120151751
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Enriched in HPV-negative,-1.376755515,0.016821245,0.120151751
HALLMARK_MYOGENESIS,Enriched in HPV-negative,-1.314333301,0.03472456,0.217028497
HALLMARK_SPERMATOGENESIS,Enriched in HPV-positive,1.519295768,0.04285194,0.222024867
HALLMARK_ANGIOGENESIS,Enriched in HPV-negative,-1.461524571,0.044404973,0.222024867
